Probe_ID	Clone1_FC	Clone1_pvalue	Clone1_FDR
ASCRP3000004	1.5041139363135	0.0171941178297298	0.242017779283403
ASCRP3000006	-1.14166149233531	0.0192499590240691	0.244805345121454
ASCRP3000010	-1.96264034594144	0.0458701048927794	0.296678565483959
ASCRP3000015	-1.206884101743	0.0115907936414143	0.240109073374265
ASCRP3000027	-1.09708540663739	0.0286879940146509	0.265227689772853
ASCRP3000038	-2.82296343608573	0.0364873577992811	0.280138100593814
ASCRP3000044	1.58492489773337	0.0306078215243665	0.267305484816585
ASCRP3000048	1.30318296552418	0.0414289690231633	0.286789493857003
ASCRP3000061	1.30649093984529	0.0322886090073046	0.271088829398591
ASCRP3000068	-3.46449206438327	0.00107712276874942	0.171206175275802
ASCRP3000074	-1.40961976016855	0.0473398882002297	0.299932005954313
ASCRP3000076	-1.81320271094681	0.0411038703271301	0.28666938011566
ASCRP3000078	1.31684848129703	0.0387780128833274	0.284693056209651
ASCRP3000101	-1.32846190069986	0.00162421998787291	0.182155338180183
ASCRP3000107	-1.28674515646778	0.0296505014081757	0.266279208244319
ASCRP3000116	-1.14428105852689	0.0405466451171495	0.285801514309642
ASCRP3000122	1.82655231700224	0.00356212397864515	0.222284155881134
ASCRP3000125	1.29178840451954	0.0322452668692031	0.270988000725939
ASCRP3000158	-1.82426371989529	0.0285373048177766	0.265227689772853
ASCRP3000166	1.28715015937168	0.0404006145028457	0.285801514309642
ASCRP3000168	-1.19913460228274	0.0186556311639332	0.244751563512266
ASCRP3000181	-1.24335905720109	0.0192081920108166	0.244805345121454
ASCRP3000187	1.05015567712209	0.0401391713680631	0.285801514309642
ASCRP3000193	-1.70663896032133	0.00239304568295342	0.210350871428617
ASCRP3000198	1.30672579536255	0.0345052912869128	0.275204594625075
ASCRP3000202	-1.85640204857964	0.0325001952277477	0.271192145489376
ASCRP3000207	1.43103670741376	0.0437309849084629	0.292996676986881
ASCRP3000210	-1.45809752362347	0.0323869139562893	0.271088829398591
ASCRP3000215	-1.50647445886168	0.0234860228509695	0.260834668204582
ASCRP3000218	-1.13154065554815	0.00146042156003714	0.180371305839018
ASCRP3000236	-1.14627040942339	0.021566806945484	0.253832732650286
ASCRP3000237	-1.28760081431845	0.015412462540338	0.242017779283403
ASCRP3000245	-1.35871068965349	0.0272592404690684	0.264645183340001
ASCRP3000246	-1.10273088273713	0.0102405679558758	0.239344103791601
ASCRP3000264	-1.76094634446828	0.0319496794455622	0.270121144165517
ASCRP3000270	-1.76241920880603	0.0111275179649915	0.239344103791601
ASCRP3000272	1.49052154758628	0.0491770268521927	0.3035754481761
ASCRP3000282	-1.18070224169568	0.0231282164018751	0.260834668204582
ASCRP3000292	1.46975031897552	0.0155723801545243	0.242017779283403
ASCRP3000301	-2.89030322411011	0.0399296278632255	0.285801514309642
ASCRP3000313	-1.36655210422732	0.00449470682727461	0.225959965038967
ASCRP3000314	-1.65099031976127	0.000400037701918649	0.167310835187368
ASCRP3000322	-1.48858609486342	0.0438813857777571	0.292996676986881
ASCRP3000344	1.48185044664695	0.0133510332325273	0.240565037551812
ASCRP3000347	-2.98494000488974	0.00709754369666706	0.239344103791601
ASCRP3000367	-4.08204160871378	0.00994220292750067	0.239344103791601
ASCRP3000368	-2.09967990361109	0.0355222120284091	0.279508244162248
ASCRP3000372	-1.78302246192023	0.0385000732124748	0.2843482544861
ASCRP3000422	1.52869203398251	0.0263868121026355	0.263514615513535
ASCRP3000434	-14.5145107853785	0.000251607922834424	0.167310835187368
ASCRP3000460	1.56639695153194	0.0134587790468327	0.240565037551812
ASCRP3000469	1.17777803637751	0.029236878299362	0.265362066573837
ASCRP3000470	-1.77222323226056	0.0263522921500996	0.263514615513535
ASCRP3000476	-4.63050379909526	0.0249275963115084	0.262556317714
ASCRP3000479	-1.64812458673188	0.0165956036324537	0.242017779283403
ASCRP3000482	-3.51584941411611	0.00619092811816019	0.236881904505447
ASCRP3000483	-2.2158996395374	0.00576401689349336	0.231992072142552
ASCRP3000487	-1.23046102416248	0.0257020382155098	0.262556317714
ASCRP3000491	1.64268797097734	0.018230894855529	0.242475207850772
ASCRP3000497	2.61742396720738	0.0404716147408144	0.285801514309642
ASCRP3000503	-1.82749067246943	0.0268546648377029	0.263870809370254
ASCRP3000510	-1.13233179459275	0.00853805014022949	0.239344103791601
ASCRP3000513	2.61326500737518	0.00426054166235594	0.225959965038967
ASCRP3000525	-2.04299479809969	0.0140568994573257	0.240565037551812
ASCRP3000550	-2.14741600513659	0.0328243679458777	0.271813581608046
ASCRP3000554	1.74375821465055	0.0444710336371534	0.293773781447329
ASCRP3000556	-2.37797596716201	0.00748993697749477	0.239344103791601
ASCRP3000577	1.21528005605239	0.00886001550592141	0.239344103791601
ASCRP3000597	-1.10110251285	0.0164643654226368	0.242017779283403
ASCRP3000604	-1.53399841232697	0.0400821693784135	0.285801514309642
ASCRP3000612	-1.21585369121391	0.000638815013926235	0.171206175275802
ASCRP3000614	-1.34788565460228	0.0453945378242692	0.295473319247094
ASCRP3000617	-1.3384713084988	0.0441681095880482	0.293251112279222
ASCRP3000646	-1.24975797653531	0.00728749507418955	0.239344103791601
ASCRP3000647	-1.13783019371791	0.0372015477699151	0.282268627088004
ASCRP3000649	1.49071811404394	0.00547610198478065	0.2319843858238
ASCRP3000654	-1.5278963165219	0.000949149806909224	0.171206175275802
ASCRP3000657	1.18149482451654	0.00690724065650379	0.239344103791601
ASCRP3000680	-1.63515751786202	0.0178735394283379	0.242475207850772
ASCRP3000684	-1.30935009705671	0.0343610833106061	0.275204594625075
ASCRP3000689	-1.26480158055295	0.0050165237012297	0.227033409748243
ASCRP3000693	1.17047631718762	0.0301264225375749	0.267305484816585
ASCRP3000700	-1.21207402061492	0.0381172216970643	0.284117442397446
ASCRP3000704	-1.45591659164337	0.0431444123377063	0.292504352845893
ASCRP3000708	-2.29688896490095	0.00170424996254105	0.182323120183871
ASCRP3000719	1.208512819658	0.0385523736195738	0.2843482544861
ASCRP3000735	1.56180318534593	0.00277974872794206	0.215237042877508
ASCRP3000739	1.13068579072282	0.00902570203111427	0.239344103791601
ASCRP3000751	1.72615478336425	0.0345996688589487	0.275204594625075
ASCRP3000759	-1.33616152292532	0.0298604701855174	0.266558652882061
ASCRP3000761	-1.72730762302866	0.0335294187251697	0.273693774819771
ASCRP3000799	-1.39835328814259	0.0290950961318415	0.265362066573837
ASCRP3000833	-1.11931340892573	0.0268504536195761	0.263870809370254
ASCRP3000835	2.08190272268203	0.0018477839204438	0.187800288664273
ASCRP3000836	1.728256350273	0.0267006856605389	0.263870809370254
ASCRP3000843	1.50457116194664	0.00105202738300549	0.171206175275802
ASCRP3000847	-1.33495797898878	0.0157120055648745	0.242017779283403
ASCRP3000859	-1.5304414190636	0.0163164111987687	0.242017779283403
ASCRP3000861	-2.23705230744934	0.0130120470469294	0.240565037551812
ASCRP3000885	1.40708378538099	0.00568288242492721	0.231992072142552
ASCRP3000887	1.67911294737026	0.0488035936018149	0.30324574667697
ASCRP3000905	-1.38567247761662	0.0447930809544309	0.294902895325494
ASCRP3000914	1.40476082759947	0.0238658860121343	0.260834668204582
ASCRP3000916	-1.23547964079562	0.00273448743086316	0.215237042877508
