logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-145-star_st	-2.24796082560226	6.23016582708223	-8.74572395068105	6.35869705037881e-09	1.9490180538997e-06	10.6126467597179
hsa-miR-221_st	-1.67378532646123	11.0257222169341	-8.49110170087241	1.09322238708772e-08	2.19128906108468e-06	10.0869862176076
hsa-miR-222_st	-1.73168986953866	11.0749688905535	-8.25587296218403	1.81736683050867e-08	2.71306362002853e-06	9.59309201036676
hsa-miR-455-3p_st	-1.41770980121869	7.90240732924344	-8.18002111600352	2.14438317674683e-08	2.77570934722979e-06	9.43213747734467
hsa-miR-125a-5p_st	-1.0206109803574	11.4147277747221	-7.67470670669211	6.58437866267256e-08	4.76452956007279e-06	8.33891183143717
hsa-miR-27b_st	-0.874673196584855	11.5960300917296	-6.91188542546931	3.81628664793899e-07	1.5696989554549e-05	6.62113903555188
hsa-miR-221-star_st	-1.6895422249004	5.18876513002145	-6.89765149386257	3.94628498269888e-07	1.61467105443936e-05	6.58834489303125
hsa-miR-133a_st	-1.92516534297648	8.49253394911583	-6.74835067324006	5.61610969754099e-07	2.08008991878118e-05	6.24280069996736
hsa-miR-320a_st	-0.605857271144762	9.66892655106024	-6.73204190785797	5.83777778148655e-07	2.11601838429077e-05	6.20488440608252
hsa-miR-139-5p_st	-1.45787401922343	5.80960145777562	-6.6762058635117	6.66672927333365e-07	2.34150113195158e-05	6.07481977672607
hsa-miR-181a_st	-0.9299259709961	9.17055459609983	-6.6541871235723	7.02583488365403e-07	2.40819735156826e-05	6.02342307613365
hsa-miR-152_st	-1.11860794689598	8.60182612214508	-6.64190328521394	7.23469686904132e-07	2.44758251218865e-05	5.99472390500841
hsa-miR-143-star_st	-1.69034396250153	6.95415885179013	-6.62283029383761	7.57163835617001e-07	2.52873306638755e-05	5.95012634947196
hsa-miR-145_st	-0.724979301425932	13.959767952854	-6.52288426155565	9.61818823906696e-07	3.06800575870646e-05	5.7157057486547
hsa-miR-133b_st	-1.65817188887345	8.68509288852608	-6.35773689192805	1.4318237952779e-06	4.01064622225693e-05	5.32576931215218
hsa-miR-770-5p_st	0.758396310451381	5.87075713429775	6.33728737220568	1.50445926106152e-06	4.075151350048e-05	5.27726687405878
hsa-miR-505_st	-1.1783351057358	5.10303329702561	-6.28561444983679	1.70520018862725e-06	4.39806583304356e-05	5.15449948116264
hsa-miR-455-5p_st	-1.80824913031114	3.98915256357105	-6.23618789429938	1.92276378152643e-06	4.80076643853964e-05	5.03679298753063
hsa-miR-25_st	0.897030020369536	8.98407285536074	6.20474045122001	2.07571153769524e-06	5.08516792071734e-05	4.9617644198247
hsa-miR-181c_st	-1.05310288687881	7.16073989399743	-6.07406468444237	2.85620364626185e-06	6.41414698147597e-05	4.64887256076986
hsa-miR-886-5p_st	-0.979447893026206	9.32333600294867	-6.06640483761653	2.91030854650674e-06	6.51427806353753e-05	4.6304770060028
