circrna	avg_circ_lfc	mirna	avg_mirna_lfc
hsa_circ_0001726	0.930418712966667	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0001811	0.827863678700002	hsa-miR-486-3p	1.9831080221936
hsa_circ_0001818	-3.39507863456666	hsa-miR-367-5p	1.29653612938548
hsa_circ_0001818	-3.39507863456666	hsa-miR-107	-1.99125363163233
hsa_circ_0001847	1.32536782323333	hsa-miR-1976	1.72643047190907
hsa_circ_0001874	-2.27901180443334	hsa-miR-107	-1.99125363163233
hsa_circ_0001888	-1.41751674223333	hsa-miR-92b-5p	2.59087560756811
hsa_circ_0002157	1.12188626666667	hsa-miR-27b-3p	-1.17329792567971
hsa_circ_0002157	1.12188626666667	hsa-miR-671-5p	0.981545332257005
hsa_circ_0002315	0.5755200239	hsa-miR-367-5p	1.29653612938548
hsa_circ_0002315	0.5755200239	hsa-miR-107	-1.99125363163233
hsa_circ_0002319	0.628340193433335	hsa-miR-92b-5p	2.59087560756811
hsa_circ_0002319	0.628340193433335	hsa-miR-107	-1.99125363163233
hsa_circ_0002319	0.628340193433335	hsa-miR-518c-5p	1.60200363821778
hsa_circ_0002490	1.31857731496667	hsa-miR-125b-2-3p	-2.88700808420298
hsa_circ_0002807	-1.00902101517778	hsa-miR-1224-5p	2.48334119999158
hsa_circ_0002807	-1.00902101517778	hsa-miR-193a-5p	-1.08116083098548
hsa_circ_0002807	-1.00902101517778	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0002807	-1.00902101517778	hsa-miR-92b-5p	2.59087560756811
hsa_circ_0002807	-1.00902101517778	hsa-miR-125b-5p	-3.33417733203018
hsa_circ_0002901	1.76350064399999	hsa-miR-505-3p	-1.09753791214932
hsa_circ_0002901	1.76350064399999	hsa-miR-221-3p	-2.82184684009392
hsa_circ_0002901	1.76350064399999	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0002901	1.76350064399999	hsa-miR-222-3p	-2.44802497528516
hsa_circ_0002901	1.76350064399999	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0002901	1.76350064399999	hsa-miR-1976	1.72643047190907
hsa_circ_0003079	0.659187281099998	hsa-miR-140-3p	-1.74807329928064
hsa_circ_0003099	-1.43450319853333	hsa-miR-107	-1.99125363163233
