Probe_ID	Clone9_FC	Clone9_pvalue	Clone9_FDR
ASCRP3000010	-1.27490824892611	0.0236036340194562	0.473751592106166
ASCRP3000038	-2.01254366189896	0.0482889225014702	0.473751592106166
ASCRP3000068	-1.86440176013191	0.00628443872857222	0.473751592106166
ASCRP3000078	-1.18635713340126	0.0487769605006198	0.473751592106166
ASCRP3000079	-1.11253459731274	0.0442258003341786	0.473751592106166
ASCRP3000080	-1.09293570378677	0.0245910738818669	0.473751592106166
ASCRP3000094	1.07901524131169	0.0378617745103836	0.473751592106166
ASCRP3000106	1.20118432485518	0.0336807889200746	0.473751592106166
ASCRP3000107	-1.30199945204258	0.0425868261562843	0.473751592106166
ASCRP3000116	-1.14892816966694	0.0281250181962285	0.473751592106166
ASCRP3000150	1.17724187071302	0.0344809357808706	0.473751592106166
ASCRP3000156	-1.10581729416798	0.0367990016151773	0.473751592106166
ASCRP3000158	-1.79622501832716	0.0103028669533404	0.473751592106166
ASCRP3000168	-1.11725405042391	0.0214321187324662	0.473751592106166
ASCRP3000184	1.43263183552605	0.0408357879492264	0.473751592106166
ASCRP3000193	-1.62466992982073	0.0167348529914385	0.473751592106166
ASCRP3000199	1.12565659472312	0.0493186037840596	0.473776628121422
ASCRP3000202	-2.29352189218086	0.00328726002306651	0.473751592106166
ASCRP3000210	-1.15830775354096	0.0312577175915296	0.473751592106166
ASCRP3000217	-1.2324011752936	0.0468786475168476	0.473751592106166
ASCRP3000221	-1.84048434712353	0.0314120686503682	0.473751592106166
ASCRP3000224	-1.18954688787971	0.0087137499804939	0.473751592106166
ASCRP3000259	1.21717071250465	0.0278861583358036	0.473751592106166
ASCRP3000274	-1.30697144998984	0.0265557004134644	0.473751592106166
ASCRP3000288	1.28105688653692	0.0195880629020403	0.473751592106166
ASCRP3000297	1.22616248285625	0.0386382040114624	0.473751592106166
ASCRP3000312	-1.16474790431685	0.0385681348973116	0.473751592106166
ASCRP3000351	-1.6435921111012	0.0334404086116783	0.473751592106166
ASCRP3000355	1.2047195061038	0.0427852073986051	0.473751592106166
ASCRP3000392	-1.30226045657109	0.0452816479611715	0.473751592106166
ASCRP3000418	-1.42229806616673	0.0155560833878485	0.473751592106166
ASCRP3000422	1.33768862720818	0.0395006923302847	0.473751592106166
ASCRP3000445	1.13119974653575	0.0343848806553275	0.473751592106166
ASCRP3000447	-1.34377705819991	0.0403437375755922	0.473751592106166
ASCRP3000464	-1.67262555582886	0.0443253267079865	0.473751592106166
ASCRP3000470	-1.39408563383161	0.0221251817165556	0.473751592106166
ASCRP3000476	-2.58329876306251	0.0277752161319398	0.473751592106166
ASCRP3000482	-2.39970009035011	0.0114045230590247	0.473751592106166
ASCRP3000503	-1.1162076344202	0.0301734596811282	0.473751592106166
ASCRP3000525	-1.55770692875127	0.0145323949891913	0.473751592106166
ASCRP3000550	-2.44193560227854	0.0222905952333983	0.473751592106166
