miR_ID	circbase_ID
hsa-miR-4640-5p	hsa_circ_0036188
hsa-miR-4660	hsa_circ_0034642
hsa-miR-4742-3p	hsa_circ_0074559
hsa-miR-548h-3p	hsa_circ_0008323
hsa-miR-548z	hsa_circ_0008323
hsa-miR-1293	hsa_circ_0026134
hsa-miR-6511a-5p	hsa_circ_0008323
hsa-miR-1205	hsa_circ_0063089
hsa-miR-1226-3p	hsa_circ_0000792
hsa-miR-4651	hsa_circ_0034642
hsa-miR-6778-5p	hsa_circ_0008323
hsa-miR-6809-3p	hsa_circ_0062603
hsa-miR-4252	hsa_circ_0060539
hsa-miR-5195-3p	hsa_circ_0008584
hsa-miR-6829-3p	hsa_circ_0063089
hsa-miR-6862-5p	hsa_circ_0008323
hsa-miR-6883-5p	hsa_circ_0008323
hsa-miR-7160-5p	hsa_circ_0008323
hsa-miR-4428	hsa_circ_0008323
hsa-miR-612	hsa_circ_0034642
hsa-miR-6785-5p	hsa_circ_0008323
hsa-miR-370-5p	hsa_circ_0008323
hsa-miR-3915	hsa_circ_0036766
hsa-miR-4538	hsa_circ_0063089
hsa-miR-6754-3p	hsa_circ_0041871
hsa-miR-6766-5p	hsa_circ_0036188
hsa-miR-6838-5p	hsa_circ_0005317
hsa-miR-6855-5p	hsa_circ_0063089
hsa-miR-6893-5p	hsa_circ_0086684
hsa-miR-4478	hsa_circ_0008323
hsa-miR-449a	hsa_circ_0086684
hsa-miR-449b-5p	hsa_circ_0086684
hsa-miR-5582-3p	hsa_circ_0008323
hsa-miR-619-5p	hsa_circ_0086684
hsa-miR-1229-3p	hsa_circ_0008323
hsa-miR-6772-3p	hsa_circ_0063089
hsa-miR-329-3p	hsa_circ_0008323
hsa-miR-4504	hsa_circ_0008323
hsa-miR-4632-5p	hsa_circ_0086684
hsa-miR-6749-5p	hsa_circ_0034642
hsa-miR-7162-5p	hsa_circ_0063089
hsa-miR-4459	hsa_circ_0089153
hsa-miR-4659b-3p	hsa_circ_0062603
hsa-miR-593-5p	hsa_circ_0026134
hsa-miR-6511a-5p	hsa_circ_0004650
hsa-miR-6836-5p	hsa_circ_0034642
hsa-miR-6893-5p	hsa_circ_0034642
hsa-miR-1301-3p	hsa_circ_0063089
hsa-miR-3173-5p	hsa_circ_0063089
hsa-miR-4300	hsa_circ_0086684
hsa-miR-508-5p	hsa_circ_0008323
hsa-miR-6756-5p	hsa_circ_0000129
hsa-miR-3916	hsa_circ_0008323
hsa-miR-4459	hsa_circ_0078607
hsa-miR-6506-5p	hsa_circ_0086684
hsa-miR-7161-3p	hsa_circ_0036188
hsa-miR-103a-2-5p	hsa_circ_0041871
hsa-miR-4659a-3p	hsa_circ_0062603
hsa-miR-5572	hsa_circ_0086684
hsa-miR-7162-3p	hsa_circ_0008323
hsa-miR-196a-3p	hsa_circ_0008323
hsa-miR-197-3p	hsa_circ_0076700
hsa-miR-3689b-3p	hsa_circ_0008323
hsa-miR-3689c	hsa_circ_0008323
hsa-miR-4435	hsa_circ_0074598
hsa-miR-6844	hsa_circ_0009172
hsa-miR-6726-5p	hsa_circ_0036766
hsa-miR-920	hsa_circ_0086684
hsa-miR-17-3p	hsa_circ_0008323
hsa-miR-619-5p	hsa_circ_0008323
hsa-miR-6878-3p	hsa_circ_0063089
hsa-miR-6752-5p	hsa_circ_0086684
hsa-miR-619-5p	hsa_circ_0001726
hsa-miR-4691-5p	hsa_circ_0002807
hsa-miR-27b-3p	hsa_circ_0008584
hsa-miR-3605-3p	hsa_circ_0063089
hsa-miR-767-5p	hsa_circ_0000044
hsa-miR-6829-3p	hsa_circ_0034642
hsa-miR-6796-5p	hsa_circ_0089153
hsa-miR-1248	hsa_circ_0005185
hsa-miR-1268a	hsa_circ_0008323
hsa-miR-1268b	hsa_circ_0008323
hsa-miR-1245b-3p	hsa_circ_0089153
hsa-miR-1972	hsa_circ_0008323
hsa-miR-4739	hsa_circ_0000129
hsa-miR-6857-5p	hsa_circ_0086684
hsa-miR-204-3p	hsa_circ_0086684
hsa-miR-548w	hsa_circ_0000567
hsa-miR-6837-3p	hsa_circ_0000714
hsa-miR-6837-3p	hsa_circ_0003438
hsa-miR-2861	hsa_circ_0063089
hsa-miR-4518	hsa_circ_0062603
hsa-miR-4753-3p	hsa_circ_0006868
hsa-miR-5095	hsa_circ_0001726
hsa-miR-570-3p	hsa_circ_0004650
hsa-miR-891a-3p	hsa_circ_0008323
hsa-miR-3617-5p	hsa_circ_0076700
hsa-miR-6774-5p	hsa_circ_0086684
hsa-miR-6799-3p	hsa_circ_0034642
hsa-miR-6860	hsa_circ_0063089
hsa-miR-27a-3p	hsa_circ_0008584
hsa-miR-370-3p	hsa_circ_0000038
hsa-miR-4448	hsa_circ_0063089
hsa-miR-6754-5p	hsa_circ_0086684
hsa-miR-6792-3p	hsa_circ_0034642
hsa-miR-6868-5p	hsa_circ_0060539
hsa-miR-329-5p	hsa_circ_0074559
hsa-miR-4728-5p	hsa_circ_0008323
hsa-miR-623	hsa_circ_0036766
hsa-miR-670-3p	hsa_circ_0052767
hsa-miR-6830-5p	hsa_circ_0001726
hsa-miR-6843-3p	hsa_circ_0063089
hsa-miR-6865-5p	hsa_circ_0086684
hsa-miR-873-5p	hsa_circ_0034642
hsa-miR-2682-3p	hsa_circ_0008432
hsa-miR-3155a	hsa_circ_0002225
hsa-miR-32-3p	hsa_circ_0074559
hsa-miR-412-3p	hsa_circ_0041871
hsa-miR-4659a-3p	hsa_circ_0000500
hsa-miR-4728-5p	hsa_circ_0086684
hsa-miR-4763-3p	hsa_circ_0089153
hsa-miR-5009-5p	hsa_circ_0063089
hsa-miR-608	hsa_circ_0086684
hsa-miR-650	hsa_circ_0034642
hsa-miR-6888-3p	hsa_circ_0076700
hsa-miR-93-3p	hsa_circ_0086684
hsa-miR-1226-5p	hsa_circ_0089153
hsa-miR-4421	hsa_circ_0008323
hsa-miR-4728-5p	hsa_circ_0001190
hsa-miR-4739	hsa_circ_0008323
hsa-miR-4793-3p	hsa_circ_0000044
hsa-miR-637	hsa_circ_0036766
hsa-miR-6744-3p	hsa_circ_0006935
hsa-miR-762	hsa_circ_0036188
hsa-miR-8060	hsa_circ_0004650
hsa-miR-1247-3p	hsa_circ_0008323
hsa-miR-3180-5p	hsa_circ_0086684
hsa-miR-412-3p	hsa_circ_0000861
hsa-miR-548aq-5p	hsa_circ_0000567
hsa-miR-548y	hsa_circ_0000567
hsa-miR-6787-3p	hsa_circ_0063089
hsa-miR-6837-3p	hsa_circ_0062603
hsa-miR-6885-5p	hsa_circ_0000128
hsa-miR-6890-5p	hsa_circ_0088457
hsa-miR-3127-5p	hsa_circ_0063526
hsa-miR-3692-5p	hsa_circ_0063089
hsa-miR-3916	hsa_circ_0034642
hsa-miR-4690-3p	hsa_circ_0036188
hsa-miR-4722-5p	hsa_circ_0000129
hsa-miR-5004-5p	hsa_circ_0060035
hsa-miR-5196-3p	hsa_circ_0000861
hsa-miR-6085	hsa_circ_0036188
hsa-miR-6797-5p	hsa_circ_0004650
hsa-miR-6837-3p	hsa_circ_0004650
hsa-miR-7107-3p	hsa_circ_0063089
hsa-miR-762	hsa_circ_0016121
hsa-miR-1301-3p	hsa_circ_0034642
hsa-miR-1910-3p	hsa_circ_0008323
hsa-miR-3613-3p	hsa_circ_0001348
hsa-miR-3654	hsa_circ_0086684
hsa-miR-3916	hsa_circ_0086684
