Probe_ID	High_FC	High_pvalue	High_FDR
ASCRP3000002	1.29323419908407	0.0259731003665007	0.0801323152633827
ASCRP3000004	1.29437280973473	0.0142107323256194	0.0632926486709365
ASCRP3000018	-5.15053450834645	0.0209587183591138	0.0730474754568075
ASCRP3000021	1.94490902266188	0.0302733651968791	0.0863819784173481
ASCRP3000025	3.8731153508669	0.00559665298613248	0.0483148161893622
ASCRP3000030	-1.39230270070728	0.0199571736170706	0.0718612460930312
ASCRP3000033	1.74690152979179	0.0301618257361825	0.0862357258755062
ASCRP3000034	-2.04409029551167	0.0109289190372421	0.0576419927259131
ASCRP3000041	1.30010525690674	0.00586696392596453	0.0484902321401908
ASCRP3000044	-14.5011755504429	0.0151369711988009	0.0644146832084089
ASCRP3000051	-10.2843221243019	0.0298627798218089	0.0857863323432201
ASCRP3000062	1.47548841367447	0.0252129043072284	0.0788906053328901
ASCRP3000063	2.36662305756046	0.00446874709583913	0.0467618515456001
ASCRP3000067	2.00822113025869	0.00278085837998983	0.0442556992255599
ASCRP3000068	-2.95950773083525	0.0101849550130207	0.056418921424607
ASCRP3000069	-2.19187160669729	0.00583759423770065	0.0484556380993491
ASCRP3000071	3.2030742824041	0.00280035698309591	0.0442556992255599
ASCRP3000073	-1.5001647824166	0.0147465683612632	0.06371739827121
ASCRP3000074	3.29395271228217	0.017360803074758	0.068257981920066
ASCRP3000075	1.47795054109987	0.000702815239044474	0.0441113185344508
ASCRP3000077	-1.65141922618429	0.00639908390223456	0.0492076125903508
ASCRP3000078	-2.79019222110066	0.00930754907216116	0.0548111963191916
ASCRP3000080	1.54249119022676	0.000164807358976431	0.0422625394943318
ASCRP3000082	-2.15281467129593	0.00471687433940354	0.0468741809866445
ASCRP3000085	-1.30100672529546	0.00173610624688188	0.0441113185344508
ASCRP3000087	-3.81610118098791	0.00667137351286092	0.0498354485883508
ASCRP3000094	-3.21570102692773	0.00785674990310584	0.0520654977140614
ASCRP3000097	1.29556784975416	0.0254558743690445	0.0791417442788537
ASCRP3000104	2.36478613870032	0.0129999901807856	0.0609116754425729
ASCRP3000106	6.38232950690965	0.002730482588163	0.0442556992255599
ASCRP3000109	1.42079261738754	0.02926617754335	0.0848250807305349
ASCRP3000112	-7.8096713027857	0.0381366226184492	0.0976549468447014
ASCRP3000113	1.92221043319172	0.0109237154715026	0.0576419927259131
ASCRP3000114	-2.69112388966862	0.00734880011604027	0.0509545762950455
ASCRP3000116	-2.05890715571667	0.0011543369948127	0.0441113185344508
ASCRP3000117	3.73279175549221	0.00502437700759169	0.0475363011681247
ASCRP3000119	-1.13279620708529	0.0126223352076502	0.0605051613164175
ASCRP3000122	1.74220645939935	0.00765313744868052	0.051592555353591
ASCRP3000124	1.51324746097229	0.00463605957200002	0.046798727938236
ASCRP3000125	-22.2012704423304	0.0133267128806115	0.0614753710325769
ASCRP3000129	-1.8221614402409	0.0109376367051245	0.0576419927259131
ASCRP3000133	1.38644847282268	0.0303109373402824	0.0864067581890087
ASCRP3000135	-1.6442105252631	0.000687502190926012	0.0441113185344508
ASCRP3000136	1.93861519604152	0.0287968013294741	0.0843203186817991
ASCRP3000139	3.42569127147115	0.0190677315246111	0.0708464347338394
ASCRP3000150	1.33290179976728	0.0246838072415892	0.0783121628488405
ASCRP3000152	1.84819385375675	0.00955636661623061	0.0551808516405912
ASCRP3000154	3.31163785366926	0.0203031426961493	0.0721910794811517
ASCRP3000156	1.62331947758502	0.00981648332378856	0.0556068146688051
ASCRP3000161	-1.46017811517764	0.00899586868368824	0.0547448012139349
ASCRP3000164	1.7068891574677	0.0146745674007268	0.0635880394641311
ASCRP3000167	1.39554080636406	0.03891950313789	0.0988226896807981
ASCRP3000173	1.79898064287567	0.00860264992468282	0.0540023392217912
ASCRP3000175	-1.90930816456799	0.0451536927381272	0.107598796404998
ASCRP3000176	-1.44411724949024	0.023474480916272	0.0768895564331185
ASCRP3000186	-1.09541938253963	0.0235500487270355	0.0769676009717695
ASCRP3000188	1.89850360626177	0.00096529436271569	0.0441113185344508
ASCRP3000189	2.2754307915048	0.0115506433871981	0.0585820409408663
ASCRP3000191	2.12883180165182	0.000936269011599418	0.0441113185344508
ASCRP3000192	-2.25942364441639	0.0167796408799645	0.0672408803188505
ASCRP3000194	1.86132929865914	0.0160051416117221	0.0659722015500833
ASCRP3000196	1.28217905453819	0.0153219567883461	0.0648141816713037
ASCRP3000199	1.60922927864259	0.00318878803049863	0.0448843369290625
ASCRP3000202	-1.67532925281588	0.00101315670895471	0.0441113185344508
ASCRP3000203	1.47304272422555	0.00108687222940526	0.0441113185344508
ASCRP3000204	2.21063365143081	0.0306801320218917	0.08691626064014
ASCRP3000206	1.87097251833919	0.000234327511304964	0.0422625394943318
ASCRP3000210	1.65381560302324	0.00938834820706971	0.0548799369884763
ASCRP3000215	3.69544576632792	0.000833816584248752	0.0441113185344508
ASCRP3000218	-1.27673967516315	0.0060646873167053	0.0487118743667298
ASCRP3000221	2.4186731910034	0.00485653264615391	0.0471436915610135
ASCRP3000223	-2.202072469629	0.0364743122859729	0.0951715928342085
ASCRP3000224	1.53069622759093	0.0040988673203388	0.0461819396865456
ASCRP3000226	2.41816832855603	0.0200207953638329	0.071969112637023
ASCRP3000228	2.46688032171927	0.0037875927067976	0.0453787607821654
ASCRP3000229	2.5040110121939	0.00256091805745701	0.0442556992255599
ASCRP3000230	-1.85793636019131	0.0119087762046164	0.0592049916201916
ASCRP3000231	-1.58435629030271	0.0236130648248724	0.0770786520896105
ASCRP3000237	1.86902335102391	0.00632890630636742	0.0491194544096184
ASCRP3000240	1.25129066502811	0.0143955326287028	0.0633825097123015
ASCRP3000242	-1.33288842014106	0.00929982251219031	0.0548111963191916
