SystematicName	GSM1110567	GSM1110568	GSM1110569	GSM1110570	GSM1110571	GSM1110572	GSM1110573	GSM1110574	GSM1110575	GSM1110576	GSM1110577	GSM1110578	GSM1110579	GSM1110580	GSM1110581	GSM1110582	GSM1110583	GSM1110584	GSM1110585	GSM1110586	GSM1110587	GSM1110588	GSM1110589	GSM1110590	GSM1110591	GSM1110592	GSM1110593	GSM1110594	GSM1110595	GSM1110596	GSM1110597	GSM1110598	GSM1110599	GSM1110600	GSM1110601	GSM1110602	GSM1110603	GSM1110604	GSM1110605	GSM1110606	GSM1110607	GSM1110608	GSM1110609	GSM1110610	GSM1110611	GSM1110612	GSM1110613	GSM1110614	GSM1110615	GSM1110616	GSM1110617	GSM1110618	GSM1110619	GSM1110620	GSM1110621	GSM1110622	GSM1110623	GSM1110624	GSM1110625	GSM1110626
hsa-let-7c-5p	4.54891312858835	4.41479447486511	4.52418468953991	4.28599175375145	4.83280800601058	4.64664021157224	4.13518268967571	3.95579634889756	4.28454522547474	4.40719229168471	4.6651858122374	4.37251546341257	4.01397046346156	4.1138129969911	4.24353199405524	3.98873285153488	4.43595323057653	4.48468467886614	3.84709293526293	4.57382045195752	4.04965690326759	3.81537560995933	4.22773106564453	4.26905634312885	4.3386212297472	4.50066695337984	4.50227967617758	4.08370184421876	4.63034838697362	3.85597873756696	5.00679080816662	4.53214549662195	4.62672063919522	4.60948549527409	4.50233187483144	4.78102864260551	4.69928287889001	4.59639253933472	4.23599122343799	4.0474101318705	4.2697206572729	4.56152166001598	4.50758916042649	4.49748016041388	4.13692797036847	4.01207964751574	4.21656040540775	3.99550441798222	4.37307811933926	4.44854353598857	4.31317473126496	4.39552008330854	4.60887841942674	4.76550080019794	4.20821367509102	4.07866875037182	4.27085482010049	4.42145155356855	4.11786373504957	3.85894876857974
hsa-mir-152	3.90792607895382	3.65195520998461	4.40390847480011	3.8145370935953	3.88964291783593	3.79847879989719	3.38906976726707	4.3384101517863	3.72889027288454	3.49260951139739	4.00731482385794	3.93706185240179	3.73537486757973	3.88251882552556	4.10525398926165	3.87860862655523	3.62251809344033	3.59062597034575	3.58290158221949	4.11206120261663	3.28036115359447	3.52760586542348	3.0834547334932	3.45918371610076	3.42091082174725	3.92764144764122	3.62503313833329	3.92105732602044	3.89773027776614	4.11319373353936	4.21648125093434	4.20614932269031	4.35202894358125	4.32314017076567	3.83404573199627	4.23242821858396	4.15781418171337	3.93243824163894	3.86750213934014	3.26472377402832	3.90505143032923	4.06639922891138	3.84442381903321	4.02355521715173	3.93256390983994	3.24090868884172	3.48108577690908	3.99039672889596	3.76184692138237	3.82933610442794	3.86249404170013	3.61687402918423	3.95595067736388	4.1435003596426	3.5387827306125	3.53947275702857	3.80262647748562	4.02187055243531	3.78728200180004	3.84005327902738
hsa-mir-182	5.25166607921575	4.80571343821903	4.89989196536335	4.60727053314733	4.98392207492874	5.21160021335239	5.03836813668141	4.41009887108818	4.93791589505502	5.18639477620285	4.76306626371631	5.12854787960539	5.10521836349323	4.77971620386069	4.69847576183171	4.90623931226273	5.28574731462953	4.81451043349279	4.60568159233374	5.05183885726325	5.45371345901386	5.46023569700657	4.89527595837616	4.7770987886749	4.87846394578981	4.48437404863386	4.80257995215977	4.83990266439044	4.83384541993095	4.78038044708639	4.42862615685988	4.66499019750524	4.40826825241016	4.43668822566531	4.50721364029836	4.25753417923829	4.18446359551048	4.4560057439246	4.72341930901548	4.76332923864069	5.04943342909183	5.26856426921101	5.30003437723641	4.9933555389199	5.63115959043762	5.03106474668413	4.58115417386026	4.7745667518121	5.12189691675315	4.99893652221851	4.89714892288694	4.86316190110734	4.47496292335703	4.73692195198113	5.78379240596409	5.23396089848693	4.52073275600253	4.85136127282292	4.94222734526154	4.85898207707407
hsa-mir-199a-1	4.63013226087021	3.87174805694155	3.74589881912337	3.89932550053186	4.01595511861426	4.18590380124068	3.5148986441825	4.04240532747408	3.44455045929746	3.67312671727865	3.85143023929044	4.17752239175161	3.4780191824735	3.37182507452535	4.15897840555762	3.81085230641026	3.80160671201452	4.35377494493222	3.66010602524193	4.37512286190072	3.69947056748546	4.1017282255614	4.24744754768389	4.00848688896549	4.18883923726567	4.16228175027063	4.27407898287793	4.00136630636577	4.03949726792462	4.09068070309966	4.5882534990408	4.5180755686803	4.56148194643698	3.89874237013635	4.07302841852346	4.57441278653411	4.38205712517491	4.34976086038833	3.98248255346599	3.68363582615929	4.22133422873415	4.0988001925374	4.45510031708818	4.52900631210231	3.84891933530459	3.94417628326436	3.30431944853246	4.31359559762477	4.03288370724777	4.09872609452482	4.04398660975648	3.69045732504242	4.04436001889084	4.09395223306598	3.35578309137332	3.34864318318655	3.92612849602229	4.4081384727995	3.93773044034241	3.790575008973
hsa-mir-200c	3.85051441570828	3.88605941099388	3.79539396789151	3.66765827844401	4.01595511861426	4.10103145352951	4.15706392714295	4.15001856447019	4.26561317133128	3.83232092326086	3.95497329490121	3.95695433918544	4.29024671022396	3.75850039878426	4.22329820094574	3.9369610665028	4.09764871743462	3.84283505780166	3.8067292750666	3.81239245804795	3.85790637104033	4.15560515023807	3.98513971145293	3.86685161404192	3.77987428472169	3.58520533394848	3.81785141038784	3.52499891716556	4.17042985636217	3.68241823300546	3.51921478281521	3.56303606982142	4.04162673854202	3.70622662076613	3.47486431019149	3.07926340782279	3.31059605993191	3.48463312661009	3.93362173437728	3.83061128837621	4.05795794218713	3.96200015768373	3.549421513516	3.90058959073644	3.91935057126406	3.87782276182847	3.9198234425615	3.65668398879485	3.95567826717632	3.69972041086308	3.30338097495716	4.11709656577113	3.8119939640749	3.58620268525338	4.40279038131511	3.94654466374597	3.36119987049101	3.5931864229933	3.71044388950119	3.88927883370554
hsa-mir-220b	3.60451616514653	4.00751128068236	3.86352222835803	4.02932301088375	3.8939795443762	3.88432928315994	3.12094790778704	3.27046555210754	3.57490076501345	3.67136924220381	3.37172612190621	3.95317489311375	3.44363582332305	3.56407081617446	3.9777644044768	3.83596751609805	3.69807620236075	3.64922340658778	3.44763208998955	3.59457243503211	3.33940964653287	3.51673127237119	3.65638996644037	3.55288731024726	3.74303449235926	3.55882721281482	3.5872197539257	3.65300382200616	3.56210318598076	4.04025157747311	3.27658003879605	3.30070141924004	3.12104939509918	3.44443914330317	3.36187080397052	2.43310874519993	2.859371878435	3.17372805816787	3.21438160708729	4.03971044420537	3.6005005091614	3.51882843198135	3.2822494100764	3.57209778738318	3.78630570274273	3.56577628312357	3.3787446551698	3.60019956792366	3.70128843898908	3.52906380139465	3.49629999571034	3.51173368121469	3.53888451784833	3.53060391133681	3.75414352092185	3.66070390538805	3.90068522221532	3.00981616899715	4.03555441238109	3.86680019223922
hsa-mir-224	4.32877041577113	4.35850738570753	4.63678294582411	3.86230557703301	4.41553491788593	4.19001664192515	4.16521574095052	4.36419420052444	4.27545856423145	4.44073365170356	4.32698883873257	4.1599899759119	4.35308611631935	4.26877346791023	4.46283694720475	4.57411301568656	4.08933288906378	4.22566131429563	4.74017094517992	4.67817334104164	4.08869624244713	4.02748672495513	4.26905933622086	4.53722337132317	3.93562380967719	4.14145976763557	4.44197938716028	5.09752020399424	4.203143979973	4.62076878841876	5.00362876979263	4.68452534477282	4.35785458696669	4.41291969233168	4.55205362127302	4.95207958122425	4.64135065090504	4.64914463832633	4.57583690669857	3.93312219783554	4.17868038572362	4.39290399949954	4.64587570285104	3.94184249867495	4.07674207116333	4.68723205420327	4.47580540182266	4.12953443617191	4.41190412709862	4.49637606141328	4.45210843635101	3.92369496183295	4.27213220848012	4.66475132959883	3.64542383580513	4.22651469515893	4.3118561896002	4.48239979071042	4.36038534788483	4.27523058829636
hsa-mir-30a	4.85309243295849	4.34436764136892	4.52310586688663	4.7362725734479	4.51552134300353	4.35780885184574	4.32795748497	4.02948645698948	4.53971964673628	4.78621943471231	5.25990291624585	4.87356075384685	4.79613775419331	4.83080748750633	4.59628876561587	4.75199012097081	4.72592597974356	5.22261061246109	4.77317983244003	4.65261154219012	4.87513817651999	4.45407124134665	4.63919800593986	4.80766764383696	4.49440856972129	4.65383333747506	4.55522656609434	5.17671012574699	4.89556776974443	5.69265845937019	5.19873261864935	5.15365781702179	5.29287007479184	4.78349122833691	4.8946446295148	5.06274213427137	5.04355536374239	4.87244809386923	4.85907802112546	4.62658164690137	5.21119485578054	4.67318383041381	5.13507759364837	4.96220797355591	4.84608958568409	4.17916785185826	4.57292603842535	5.10626413750225	5.12099177041803	4.91502079452816	4.87000856423404	5.05393196173822	4.85399015973669	5.00374299151811	5.01912899206305	4.86860627317679	4.87145286568151	4.96443097926299	5.08399918892774	4.90791214284053
hsa-mir-30e	4.64170959461336	4.05230198352457	4.15194484345684	4.42380538091952	3.76175013779041	4.37826190442421	4.40069844780062	3.43651100816279	4.01591677210688	4.19867408640732	4.37044539729954	4.08985911841695	4.36554277353642	4.47009103793576	4.2812642636997	4.27915033087175	4.22840159516231	4.70451124560439	4.44574325399662	3.85376116523519	4.6373389764365	4.24337813656343	3.98599308482613	4.50554672462632	3.83702789954576	4.51114351025061	4.38267486041695	4.67774218907962	4.42073569701672	4.5252896461661	4.71004101697736	4.77909263967706	4.37502343993977	4.35547091222829	4.75230544045471	4.87029862537355	4.69494814826241	4.79437115510826	4.62249115206117	4.0090810769143	4.51519646276442	4.21963243208386	4.62783209573976	4.81718373133193	4.24656694217974	3.75363769392555	4.21900042217336	3.92395731979835	4.37307811933926	4.36825290903763	3.87468681728723	4.85173155409746	4.31294973509412	4.54206856750343	4.71174322705803	4.61671350377776	4.15099095842622	4.66884301434549	4.20345803028367	3.84988920224854
hsa-mir-375	5.60543003221748	5.75149960599092	5.84314068605492	6.00624236191028	5.53546419787877	5.85205553471271	5.53977236896291	5.5245276112272	6.37420468642045	5.86197768903295	6.13533580416909	5.68338149700431	6.35647679624775	5.7634984203977	5.84279534148254	5.63392694260873	5.56435835118938	6.21379285402915	5.66674324405398	5.35213667364418	5.87259682643387	6.00061932423152	6.72788234513426	5.99333764833534	5.93094923261698	5.80094958470562	6.01616087926573	5.92538495590174	5.94397077480509	6.06807658683215	5.30911687449281	4.74662395507777	6.13092469389268	5.49044658476701	5.08434707674905	4.61465095740156	5.07687971540558	5.35401024286304	5.87092689118327	6.08685869230218	6.27801319190869	5.93030824936511	5.92429256474952	6.21921344664177	5.60492944822996	5.9956197369347	6.28720852555029	6.27495525560673	5.98484337173925	5.7996701739188	5.86041162875498	5.91891855939561	5.27289809896919	5.56387655276938	5.99601943795221	6.11762897303724	5.8224125161578	5.96719120711809	5.88669914008186	5.91498660311597
