MIMAT0005911	hsa-miR-1260;hsa-miR-1260a;
MIMAT0005920	hsa-miR-1266;hsa-miR-1266-5p;
MI0006405	hsa-mir-1268;hsa-mir-1268a;
MIMAT0005922	hsa-miR-1268;hsa-miR-1268a;
MI0006406	hsa-mir-1269;hsa-mir-1269a;
MIMAT0005923	hsa-miR-1269;hsa-miR-1269a;
MIMAT0000445	hsa-miR-126;hsa-miR-126-3p;
MIMAT0000444	hsa-miR-126*;hsa-miR-126-5p;
MI0006407	hsa-mir-1270;hsa-mir-1270-1;hsa-mir-1270;
MIMAT0005796	hsa-miR-1271;hsa-miR-1271-5p;
MIMAT0020602	hsa-miR-1273g;hsa-miR-1273g-5p;
MI0006409	hsa-mir-1273;hsa-mir-1273a;
MIMAT0005926	hsa-miR-1273;hsa-miR-1273a;
MIMAT0005933	hsa-miR-1277;hsa-miR-1277-3p;
MIMAT0000446	hsa-miR-127;hsa-miR-127-3p;
MIMAT0005876	hsa-miR-1285;hsa-miR-1285-3p;
MIMAT0005878	hsa-miR-1287;hsa-miR-1287-5p;
MIMAT0005942	hsa-miR-1288;hsa-miR-1288-3p;
MI0000447	hsa-mir-128a;hsa-mir-128-1;
MIMAT0000424	hsa-miR-128a;hsa-miR-128;hsa-miR-128-3p;
MI0000727	hsa-mir-128b;hsa-mir-128-2;
MIMAT0005943	hsa-miR-1292;hsa-miR-1292-5p;
MIMAT0004605	hsa-miR-129-3p;hsa-miR-129-2-3p;
MI0006357	hsa-mir-1295;hsa-mir-1295a;
MIMAT0005885	hsa-miR-1295;hsa-miR-1295a;
MIMAT0005794	hsa-miR-1296;hsa-miR-1296-5p;
MIMAT0005800	hsa-miR-1298;hsa-miR-1298-5p;
MI0000473	hsa-mir-129b;hsa-mir-129-2;
MIMAT0004548	hsa-miR-129*;hsa-miR-129-1-3p;
MIMAT0000242	hsa-miR-129;hsa-miR-129-5p;
MI0000252	hsa-mir-129;hsa-mir-129a;hsa-mir-129-1;
