ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-EJ-8469-01	-853.51	-1070.63	-1924.13
TCGA-EJ-8470-01	-742.03	672.5	-69.53
TCGA-EJ-8472-01	-840.69	-1223.32	-2064.01
TCGA-EJ-8474-01	-351.11	-984.46	-1335.57
TCGA-EJ-A46B-01	-1014.25	-1274.03	-2288.28
TCGA-EJ-A46D-01	-969.87	-996.34	-1966.22
TCGA-EJ-A46E-01	-882.54	-732.58	-1615.12
TCGA-EJ-A46F-01	-1575.65	-1353.5	-2929.14
TCGA-EJ-A46G-01	-364.66	-738.98	-1103.64
TCGA-EJ-A46H-01	1.8	-195.67	-193.87
TCGA-EJ-A46I-01	-911.75	-1072.56	-1984.31
TCGA-EJ-A65B-01	-397.92	-732.38	-1130.3
TCGA-EJ-A65D-01	-1656.48	-1764.92	-3421.39
TCGA-EJ-A65E-01	-1281.85	-1199.99	-2481.83
TCGA-EJ-A65F-01	-355.26	-690.06	-1045.32
TCGA-EJ-A65G-01	-1157.05	-1345.2	-2502.26
TCGA-EJ-A65J-01	-683.77	-875.3	-1559.07
TCGA-EJ-A65M-01	-743.38	-567.8	-1311.19
TCGA-EJ-A6RA-01	-981.11	-860.08	-1841.2
TCGA-EJ-A6RC-01	-128.78	-20.72	-149.5
TCGA-EJ-A7NF-01	-1557.68	-1168.43	-2726.11
TCGA-EJ-A7NG-01	-548.13	-890.47	-1438.6
TCGA-EJ-A7NH-01	-722.98	-1040.65	-1763.63
TCGA-EJ-A7NJ-01	-1142.63	-673.71	-1816.34
TCGA-EJ-A7NK-01	-929.22	-1046.33	-1975.55
TCGA-EJ-A7NM-01	-501.78	29.43	-472.35
TCGA-EJ-A7NN-01	-576.33	-447.49	-1023.81
TCGA-EJ-A8FN-01	-534.85	-490.61	-1025.46
TCGA-EJ-A8FO-01	-916.44	-1186.92	-2103.37
TCGA-EJ-A8FP-01	-453.05	-562.44	-1015.49
TCGA-EJ-A8FS-01	-1583.1	-1246.17	-2829.27
TCGA-EJ-A8FU-01	-206.04	-613.97	-820.01
TCGA-EJ-AB20-01	263.93	-147.01	116.92
TCGA-EJ-AB27-01	-1069.8	-381.16	-1450.96
TCGA-FC-7708-01	-15.79	-516.78	-532.57
TCGA-FC-7961-01	82.83	-729.95	-647.13
TCGA-FC-A4JI-01	-1708.3	-947.54	-2655.84
TCGA-FC-A5OB-01	-1307.52	-1443.3	-2750.82
TCGA-FC-A66V-01	-1012.46	-658.66	-1671.12
TCGA-FC-A6HD-01	-1662.07	-1142.91	-2804.98
TCGA-FC-A8O0-01	-1070.04	-1339.38	-2409.42
TCGA-G9-6329-01	-491.49	-585.31	-1076.79
TCGA-G9-6332-01	-1446.74	-1345.99	-2792.72
TCGA-G9-6333-01	-559.87	-682.16	-1242.03
TCGA-G9-6336-01	-972.81	-1000.93	-1973.74
TCGA-G9-6338-01	-287.1	-936.62	-1223.72
TCGA-G9-6339-01	-1151.94	-948.13	-2100.07
TCGA-G9-6342-01	-1012.51	-1116.03	-2128.53
TCGA-G9-6343-01	-896.44	-1040.48	-1936.92
TCGA-G9-6347-01	-20.32	244.23	223.9
TCGA-G9-6348-01	-263.39	-532.77	-796.16
TCGA-G9-6351-01	-1022.48	-1219.94	-2242.42
TCGA-G9-6353-01	-692.48	-1191.74	-1884.22
TCGA-G9-6354-01	-1402.92	-1052.08	-2455
TCGA-G9-6356-01	-328.87	-328.76	-657.63
TCGA-G9-6361-01	-261.26	-1091.05	-1352.3
TCGA-G9-6362-01	-709.95	-825.31	-1535.26
TCGA-G9-6363-01	-673.94	-798.78	-1472.72
TCGA-G9-6364-01	-200.43	-1042.31	-1242.74
TCGA-G9-6365-01	-152.73	-823.19	-975.92
TCGA-G9-6366-01	-1116.88	-1186.52	-2303.4
TCGA-G9-6367-01	-704.79	-920.35	-1625.14
TCGA-G9-6369-01	-876.66	-1222.83	-2099.48
TCGA-G9-6370-01	-480.53	-715.32	-1195.85
TCGA-G9-6371-01	-1168.29	-1196.88	-2365.17
TCGA-G9-6373-01	-354.63	-547.01	-901.65
TCGA-G9-6377-01	-775.52	-666.85	-1442.37
TCGA-G9-6378-01	-242.95	-958.63	-1201.58
TCGA-G9-6379-01	-394.21	333.94	-60.27
TCGA-G9-6384-01	-407.1	-742.98	-1150.08
TCGA-G9-6385-01	-615.2	-998.59	-1613.78
TCGA-G9-6494-01	-634.51	-1143.65	-1778.16
TCGA-G9-6496-01	-496.9	-1002.77	-1499.68
TCGA-G9-6498-01	-329.32	151.11	-178.21
TCGA-G9-6499-01	-1228.74	-817.87	-2046.61
TCGA-G9-7509-01	-817.3	-1311.05	-2128.35
TCGA-G9-7510-01	-225.43	-643.24	-868.67
TCGA-G9-7519-01	-626.09	-1072.65	-1698.74
TCGA-G9-7521-01	-148.35	152.65	4.3
TCGA-G9-7522-01	-514.27	-830.92	-1345.19
TCGA-G9-7523-01	970.2	184.77	1154.97
TCGA-G9-7525-01	-407.32	-935.9	-1343.23
TCGA-G9-A9S0-01	-1023.65	-567.52	-1591.17
TCGA-G9-A9S4-01	-1453.67	-1355.59	-2809.26
TCGA-G9-A9S7-01	-1532.43	-994.01	-2526.44
TCGA-H9-7775-01	-557.36	-1061.38	-1618.75
TCGA-H9-A6BX-01	12.65	-252.3	-239.64
TCGA-H9-A6BY-01	-1294.34	-1470.17	-2764.51
TCGA-HC-7075-01	-1185.38	-760.12	-1945.5
TCGA-HC-7077-01	-1469.53	-1426.71	-2896.24
TCGA-HC-7078-01	-602.3	-586.28	-1188.58
TCGA-HC-7079-01	476.21	2504.72	2980.93
TCGA-HC-7080-01	-1314.09	-1179.51	-2493.61
TCGA-HC-7081-01	734.91	-105.82	629.09
TCGA-HC-7209-01	-898.9	-844.83	-1743.73
TCGA-HC-7210-01	42.62	-287.77	-245.15
TCGA-HC-7211-01	-954.66	-579.31	-1533.97
TCGA-HC-7212-01	-646.47	-1088.8	-1735.28
TCGA-HC-7213-01	-520.63	-578.23	-1098.85
TCGA-HC-7230-01	-1322.3	-1329.81	-2652.11
TCGA-HC-7231-01	-910.03	-470.56	-1380.59
TCGA-HC-7232-01	-573.85	-1118.72	-1692.57
TCGA-HC-7233-01	-41.08	95.11	54.04
TCGA-HC-7736-01	-427.89	-611.37	-1039.26
TCGA-HC-7737-01	-121.06	-64.09	-185.15
TCGA-HC-7738-01	-1192.28	-1019.53	-2211.81
TCGA-HC-7740-01	-266.42	-599.59	-866.01
TCGA-HC-7742-01	-533.3	-1163.27	-1696.57
TCGA-HC-7744-01	-1228.13	-1228.87	-2457
TCGA-HC-7745-01	1.95	-136.76	-134.81
TCGA-HC-7747-01	-669.65	-246.09	-915.74
TCGA-HC-7748-01	-33.56	-496.21	-529.78
TCGA-HC-7749-01	-440.61	-751.12	-1191.73
TCGA-HC-7750-01	-485.93	-959.83	-1445.76
TCGA-HC-7752-01	-830.69	-852.99	-1683.68
TCGA-HC-7817-01	40.42	-23.19	17.22
TCGA-HC-7818-01	-782.57	-578.32	-1360.89
TCGA-HC-7819-01	-1421.74	-1347.48	-2769.23
TCGA-HC-7820-01	-1199.79	-1131.91	-2331.71
TCGA-HC-7821-01	185.44	-139.78	45.66
TCGA-HC-8213-01	-1614.63	-1392.58	-3007.21
TCGA-HC-8216-01	-619.33	-422.82	-1042.15
TCGA-HC-8256-01	-1306.25	-1114.03	-2420.28
TCGA-HC-8257-01	-699.15	-882.7	-1581.85
TCGA-HC-8258-01	-1054.08	-772.35	-1826.44
TCGA-HC-8259-01	-1322.1	-1368.51	-2690.61
TCGA-HC-8260-01	-689.81	-921.79	-1611.6
TCGA-HC-8261-01	-806.04	-593.19	-1399.23
TCGA-HC-8262-01	-1178.55	-1226.29	-2404.84
TCGA-HC-8264-01	303.51	-665.72	-362.21
TCGA-HC-8265-01	-820.06	-715.65	-1535.7
TCGA-HC-8266-01	-116.48	1087.63	971.15
TCGA-HC-A48F-01	-883.87	-1511.39	-2395.25
TCGA-HC-A4ZV-01	-41.56	-81.96	-123.51
TCGA-HC-A631-01	-1056.22	-1283.12	-2339.34
TCGA-HC-A632-01	26.31	306.88	333.19
TCGA-HC-A6AL-01	-638.48	-420.81	-1059.29
TCGA-HC-A6AN-01	-752.21	-669.93	-1422.14
TCGA-HC-A6AO-01	-1207.66	-122.52	-1330.18
TCGA-HC-A6AP-01	-428.04	-203.67	-631.72
TCGA-HC-A6AQ-01	-1151.53	-895.16	-2046.68
TCGA-HC-A6AS-01	-140.78	64.15	-76.64
TCGA-HC-A6HX-01	-726.48	-736.52	-1463
TCGA-HC-A6HY-01	-1408.52	-1082.76	-2491.28
TCGA-HC-A76W-01	-150.06	-674.89	-824.95
TCGA-HC-A76X-01	-1422.31	-1554.25	-2976.56
TCGA-HC-A8CY-01	-1022.55	-371.68	-1394.22
TCGA-HC-A8D0-01	-367.07	-450.86	-817.93
TCGA-HC-A8D1-01	-359.45	-637.58	-997.03
TCGA-HC-A9TE-01	18.47	341.48	359.95
TCGA-HC-A9TH-01	-226.12	-528.19	-754.31
TCGA-HI-7168-01	4.7	-1186.96	-1182.27
TCGA-HI-7169-01	-291.92	-958.07	-1249.99
TCGA-HI-7170-01	128.85	-255.64	-126.79
TCGA-HI-7171-01	-699.92	-923.2	-1623.12
TCGA-J4-8198-01	-464.12	-1183.68	-1647.8
TCGA-J4-8200-01	-470.07	-928.05	-1398.12
TCGA-J4-A67K-01	-926.71	-269.58	-1196.29
TCGA-J4-A67L-01	-625.28	-177.34	-802.62
TCGA-J4-A67M-01	-196.47	59.93	-136.54
TCGA-J4-A67N-01	-1091.45	-438.35	-1529.8
TCGA-J4-A67O-01	-200.96	-460.86	-661.82
TCGA-J4-A67Q-01	-44.93	-236.28	-281.21
TCGA-J4-A67R-01	-600.84	-150.9	-751.73
TCGA-J4-A67S-01	-1232	-564.03	-1796.03
TCGA-J4-A67T-01	-985.54	-769.32	-1754.86
TCGA-J4-A6G1-01	-41.86	1385.4	1343.54
TCGA-J4-A6G3-01	-533.32	43.32	-489.99
TCGA-J4-A6M7-01	-929.51	-1407.21	-2336.72
TCGA-J4-A83I-01	-612.74	-705.84	-1318.58
TCGA-J4-A83J-01	-1014.27	-444.75	-1459.02
TCGA-J4-A83K-01	-803.85	-1167.07	-1970.92
TCGA-J4-A83L-01	-584.74	-1076.6	-1661.35
TCGA-J4-A83M-01	-942.35	-805.12	-1747.47
TCGA-J4-A83N-01	-1314.76	-1046.55	-2361.3
TCGA-J4-AATV-01	-523.16	-358.91	-882.07
TCGA-J4-AATZ-01	-1275.49	-1183.04	-2458.54
TCGA-J4-AAU2-01	-890.54	-953.67	-1844.21
TCGA-J9-A52B-01	-518.39	-625.64	-1144.02
TCGA-J9-A52C-01	282.46	40.04	322.5
TCGA-J9-A52D-01	-1672.89	-1515.66	-3188.55
TCGA-J9-A52E-01	291.7	-344.73	-53.03
TCGA-J9-A8CK-01	83.77	-753.73	-669.96
TCGA-J9-A8CL-01	287.9	-280.05	7.85
TCGA-J9-A8CM-01	49.56	-636.12	-586.56
TCGA-J9-A8CN-01	-799.04	-977.28	-1776.32
TCGA-J9-A8CP-01	-325.74	-816.41	-1142.15
TCGA-KC-A4BL-01	-530.22	-560.56	-1090.77
TCGA-KC-A4BN-01	-1511.65	-1198.51	-2710.16
TCGA-KC-A4BR-01	-153.81	-826.35	-980.17
TCGA-KC-A4BV-01	-105.61	-465.31	-570.92
TCGA-KC-A7F3-01	-1067.73	-965.55	-2033.28
TCGA-KC-A7F5-01	-1500.13	-1709.78	-3209.92
TCGA-KC-A7F6-01	-961.07	-896.33	-1857.4
TCGA-KC-A7FA-01	-830.11	-749.2	-1579.3
TCGA-KC-A7FD-01	-1669.35	-1189.59	-2858.94
TCGA-KC-A7FE-01	-95.63	-794.72	-890.35
TCGA-KK-A59V-01	-478.59	1687.94	1209.35
TCGA-KK-A59X-01	-525.64	-921.59	-1447.23
TCGA-KK-A59Y-01	-1304.97	-1177.56	-2482.53
TCGA-KK-A59Z-01	58.08	-523.63	-465.55
TCGA-KK-A5A1-01	-316.69	-555.18	-871.87
TCGA-KK-A6DY-01	-956.36	-569.74	-1526.1
TCGA-KK-A6E0-01	-1233.32	-1108.98	-2342.3
TCGA-KK-A6E1-01	-1252.04	-1074.94	-2326.98
TCGA-KK-A6E2-01	-1278.58	-996.38	-2274.96
TCGA-KK-A6E3-01	-313.85	-135.18	-449.03
TCGA-KK-A6E4-01	-1312.31	-960.68	-2272.98
TCGA-KK-A6E5-01	-686.08	-825.88	-1511.96
TCGA-KK-A6E6-01	-363.86	-710	-1073.86
TCGA-KK-A6E7-01	-1122.92	-1135.85	-2258.77
TCGA-KK-A6E8-01	-1183.25	-1298.02	-2481.27
TCGA-KK-A7AP-01	-1253.55	-1489	-2742.55
TCGA-KK-A7AQ-01	-583.74	-879.22	-1462.96
TCGA-KK-A7AU-01	-1957.87	-1478.65	-3436.52
TCGA-KK-A7AV-01	-396.59	377.11	-19.48
TCGA-KK-A7AW-01	-974.17	138.37	-835.8
TCGA-KK-A7AY-01	-1081.36	-980.56	-2061.92
TCGA-KK-A7AZ-01	-978.96	-1136.64	-2115.61
TCGA-KK-A7B0-01	-352.75	392.86	40.1
TCGA-KK-A7B1-01	-213.37	-897.18	-1110.54
TCGA-KK-A7B2-01	-219.07	344.48	125.41
TCGA-KK-A7B3-01	-169.15	-187.96	-357.11
TCGA-KK-A7B4-01	-624.35	-555.49	-1179.84
TCGA-KK-A8I4-01	316.06	490.32	806.38
TCGA-KK-A8I5-01	-570.91	-1004.26	-1575.17
