ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-YL-A8SH-01	-786.97	-1011.44	-1798.41
TCGA-YL-A8SI-01	-270.83	-572.71	-843.54
TCGA-YL-A8SJ-01	-8.31	-1195.93	-1204.25
TCGA-YL-A8SK-01	-502.32	-592.21	-1094.53
TCGA-YL-A8SL-01	-1407.89	-1363.32	-2771.21
TCGA-YL-A8SO-01	-508.64	-942.76	-1451.4
TCGA-YL-A8SP-01	-770.04	-1587.2	-2357.24
TCGA-YL-A8SQ-01	-553.66	-765.79	-1319.45
TCGA-YL-A8SR-01	-607.98	-1040.56	-1648.54
TCGA-YL-A9WH-01	-885.84	-1070.62	-1956.46
TCGA-YL-A9WI-01	-834.64	-1150.52	-1985.16
TCGA-YL-A9WJ-01	-347.22	-381.03	-728.25
TCGA-YL-A9WK-01	-20.89	-429.24	-450.13
TCGA-YL-A9WL-01	-1087.59	-1397.03	-2484.62
TCGA-YL-A9WX-01	-519.33	-347.66	-866.99
TCGA-YL-A9WY-01	231.96	482.08	714.03
TCGA-ZG-A8QW-01	-348.2	-263.87	-612.06
TCGA-ZG-A8QX-01	-949.88	-952.18	-1902.06
TCGA-ZG-A8QY-01	-420.37	-1179.07	-1599.43
TCGA-ZG-A8QZ-01	-144.95	-352.86	-497.81
TCGA-ZG-A9KY-01	-855.75	88.65	-767.1
TCGA-ZG-A9L0-01	292.06	92.4	384.45
TCGA-ZG-A9L1-01	-508.93	-1521.21	-2030.15
TCGA-ZG-A9L2-01	478.43	82.54	560.97
TCGA-ZG-A9L4-01	54.33	-584.73	-530.39
TCGA-ZG-A9L5-01	-900.31	-1055.08	-1955.38
TCGA-ZG-A9L6-01	106.69	-437.66	-330.98
TCGA-ZG-A9L9-01	314.49	-38.39	276.1
TCGA-ZG-A9LB-01	-492.69	-280.03	-772.71
TCGA-ZG-A9LM-01	-143.79	-616.28	-760.07
TCGA-ZG-A9LN-01	116.59	1051.62	1168.21
TCGA-ZG-A9LS-01	435.62	486.18	921.8
TCGA-ZG-A9LU-01	-950.4	-286.19	-1236.59
TCGA-ZG-A9LY-01	-413.22	-587.6	-1000.82
TCGA-ZG-A9LZ-01	-653.44	-481.66	-1135.1
TCGA-ZG-A9M4-01	-807.39	193.99	-613.4
TCGA-ZG-A9MC-01	167.61	1174.03	1341.64
TCGA-ZG-A9N3-01	-1255.7	-198.73	-1454.44
TCGA-ZG-A9ND-01	-1252.25	-1125.71	-2377.96
TCGA-ZG-A9NI-01	42.86	-843.47	-800.62
