miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-200c_st	1.54852092232895	7.35188295746628	6.2235791975306	3.18836492990962e-06	0.000614226445733335	4.66158330381614
hsa-miR-20a_st	1.43209079074907	2.96057576223647	6.20552811028821	3.32207590599423e-06	0.000618143409651069	4.622539531353
hsa-miR-20b_st	1.50445649819846	2.99922074403127	5.84486486620723	7.60919556930965e-06	0.000974850219248441	3.83382052191494
hsa-miR-106a_st	1.28239893937414	4.44496973305265	5.40580408376418	2.12669352897915e-05	0.0019325709219735	2.85354632608726
hsa-miR-221_st	-1.11791771530731	5.20167984369351	-5.3696383546765	2.31650074355068e-05	0.00205474173432312	2.77193898732909
hsa-miR-222_st	-1.54742620963829	5.46060027883384	-5.34937117952497	2.4303041191065e-05	0.00205474173432312	2.72615487302319
hsa-miR-375_st	1.97615758910055	3.73456495701139	5.14081759516648	3.9889197629198e-05	0.00293759147576578	2.25302077756383
hsa-miR-182_st	1.2592300621015	2.5267201720994	5.12643937461378	4.12806405303786e-05	0.00298711301615657	2.22027650317307
hsa-miR-17_st	1.44187209262693	4.64798529661674	4.972771516012	5.96067604579396e-05	0.00387285361494151	1.86943996930247
hsa-miR-93_st	1.34245050404498	4.27974198639513	4.88592168468799	7.34118586546461e-05	0.0044131821183543	1.67051827529941
hsa-miR-768-3p_st	0.741523854111277	5.77379203519306	4.46123581490559	0.000204380051061834	0.00892307317904042	0.693525584003352
hsa-miR-145_st	-0.527722909460516	8.63385556927775	-4.36721034915963	0.000256574176601794	0.0106655701603352	0.476797397730001
hsa-miR-141_st	0.503039733696235	1.32695884175281	4.25967833241459	0.00033283036723777	0.0128131493594245	0.22902776784615
hsa-let-7a_st	0.618868660488028	6.74458854823371	4.22786082828695	0.000359470037813683	0.0135712963551398	0.155757665332969
hsa-miR-768-5p_st	0.849427320343412	4.25897227298601	4.16433936703931	0.000419193515640884	0.0152371968592256	0.00956563299607538
hsa-miR-720_st	0.491267582549142	8.36781015750467	4.13013700918892	0.000455352761423625	0.0162492321028568	-0.0690911978041218
hsa-miR-125a-5p_st	-0.558874794685579	3.8506293969167	-4.12465091675966	0.000461435488713629	0.0163851480910541	-0.0817034585344265
hsa-miR-214_st	-0.802630001693881	5.67370730300967	-3.94056999289211	0.00071993659720708	0.023345661855491	-0.503991560713107
hsa-miR-1274b_st	0.901169070293813	2.28028963445798	3.85557304990549	0.000883710102194274	0.0274055335263819	-0.698212927143547
hsa-miR-378-star_st	-0.36445326342926	1.06426613197645	-3.84480860362051	0.000906926382595482	0.0277946261960145	-0.722767456617396
hsa-miR-136-star_st	-0.227830580559696	0.946281899816455	-3.64910522716561	0.00145131833170404	0.0415459808141651	-1.16715331691452
hsa-miR-106b_st	0.758205293430958	1.91486061504486	3.64549655479775	0.00146391608082284	0.0417536648599652	-1.17530670558777
hsa-miR-101_st	0.164605432310164	0.942440109348627	3.63146347526604	0.00151393713132258	0.0428674589901667	-1.20699709200477
hsa-miR-200b_st	0.606591524015581	1.46929494257517	3.59987150636296	0.00163278730956295	0.0455150363379256	-1.27824585205537
hsa-miR-409-3p_st	-0.430513532913215	2.00421345386611	-3.56910879321518	0.00175732170510058	0.0480191228159477	-1.34749407948275
