SystematicName	GSM567942.CEL	GSM567941.CEL	GSM567940.CEL	GSM567939.CEL	GSM567938.CEL	GSM567937.CEL	GSM567936.CEL	GSM567935.CEL	GSM567934.CEL	GSM567933.CEL	GSM567932.CEL	GSM567931.CEL	GSM567930.CEL	GSM567929.CEL	GSM567928.CEL	GSM567927.CEL	GSM567926.CEL	GSM567925.CEL	GSM567924.CEL	GSM567923.CEL	GSM567922.CEL	GSM567921.CEL	GSM567920.CEL	GSM567919.CEL	GSM567918.CEL	GSM567917.CEL	GSM567916.CEL	GSM567915.CEL	GSM567914.CEL	GSM567913.CEL	GSM567912.CEL	GSM567911.CEL	GSM567910.CEL	GSM567909.CEL	GSM567908.CEL	GSM567907.CEL	GSM567906.CEL	GSM567905.CEL	GSM567904.CEL	GSM567903.CEL
hsa-let-7a	7.33766773306562	7.28339745945504	7.48099406975174	7.83662021976905	7.23272149627717	6.78926355838075	7.09564120370448	7.36438539242627	6.81872431892719	6.65545408565298	6.9496013592438	7.06585510609481	6.48338871251857	6.51639245161697	6.55865125095811	6.99310496642862	7.68316880680871	7.35086140562131	7.13459061664223	6.44997335621111	6.25087185529472	7.2892778679419	7.34802720023196	7.43039891037151	5.44196092573424	6.45139108737438	5.20873974216665	6.73033938482919	6.33876038751359	6.95130497808737	6.19135217615578	6.54907199909121	6.64794549348081	6.22525860833957	5.82358478585485	6.8562858083635	5.82592498575396	5.72850905897775	7.08477999986757	6.32929910436348
hsa-miR-101-3p	1.1226357787007	1.53112660405047	1.03457835458046	1.14519614023598	0.841027773571648	1.07487618569809	1.05866360165949	1.14279127206053	1.00139865190748	1.0188630868368	0.920187197051276	0.884289888341253	0.841407717360569	0.900921018512348	0.944514838876023	1.12043782322356	0.853613677488041	1.15856045454277	0.922992513408606	0.976773931968084	0.788440948703409	0.929299118894818	0.960839475606975	1.24547352096466	0.969147651981037	0.826954593237954	0.813272145177979	1.01832011821869	0.654881020500223	0.809638040551882	0.734676847921907	0.825897693135422	0.824425194622931	0.868659754804158	0.875151400947596	0.820512223229817	0.769228028962858	0.795914293336906	0.868659754804158	0.803356038267513
hsa-miR-106a-5p	4.45359283993959	4.67265866335657	4.45610864502519	6.5270174063458	5.4128094123076	4.76373192354033	6.40991107738632	6.30989932317394	4.36394755095969	4.68145919555839	5.53713760064858	5.41007562492098	2.564969033128	5.16563256998547	3.34724440531478	5.42466372320854	6.28023470174177	4.7263201464079	5.94163360594981	5.2743366058952	3.46232837786539	1.83379077201724	3.94191713883736	4.55882632100949	3.90131190457975	4.45000876352014	2.67413125961948	3.73797352985154	3.48362028678954	4.68319445770945	4.58687255514993	3.60951058318626	2.47139235817206	4.22926124267628	2.34101897522762	5.26264705928881	2.76091702483323	4.51809281686409	5.28744219739493	4.28114764271906
hsa-miR-106b-5p	1.58531587962251	2.6994311124764	1.82584734901224	3.41558518321619	2.16230585016145	2.95680248804384	2.01136903480083	3.20514101164352	1.46156800318687	1.00950786817664	1.11999599431676	2.33921875699907	2.90998680851832	1.56211356007371	1.40215396504082	3.59026479780015	4.1368109795037	2.10519809292937	2.15270998978546	2.22793850989891	1.50075449715498	1.19452664275076	1.95953191913904	1.48358753760663	1.15601504916479	1.39750791249456	1.0119148656062	1.69448079136004	1.03204917939567	3.11595365180991	1.41725403168689	1.58876208735772	1.47321371656911	0.990907881079774	0.818688493825888	2.08554206617047	1.73141465826302	1.23086613486185	1.6519551907372	2.18023305955308
hsa-miR-125a-5p	3.4001206139012	3.96919964726672	2.66900756418533	3.8369813022743	2.14656249696094	2.79527975554356	2.68811465864016	3.90034044873434	3.51213007249841	1.99005530455055	2.91075333978138	4.07949978441849	3.29777100522175	3.30623818536672	3.57002787893205	4.12389787487373	4.29422326072343	5.1744014307142	4.56846935506132	5.19076601182973	3.98503308902471	4.7673765448203	3.99595239277755	3.44251516273216	3.29848139129758	3.44069941731177	2.7701840295371	4.82783306850289	3.7309011391386	2.77562129697474	3.51156797120571	4.76858895291656	5.18309013270346	3.72308972808696	2.89845440183301	4.67507070811789	5.63618775002515	4.65847073252198	4.91882192382596	5.59339605183577
hsa-miR-1274b	2.62383062154316	3.01107807849514	2.60860931601768	2.39700409264208	1.82046907879098	3.14331529468317	1.96236188071363	1.90121045579683	2.55762085090554	2.59373244481393	2.92794326509203	1.85149046193446	3.67807771719776	1.57047189005382	1.98588664906134	3.52884721080485	4.49046744276208	4.29524044628887	3.680953409206	1.98887278529439	1.63885833268501	2.926770625446	1.60882669733857	1.65412603523422	0.961115359519148	1.48437491106337	1.3452152892036	2.57644683334654	0.737791021196712	1.94614470576604	1.44887284514559	1.47667166186171	1.30126013135019	2.32918194614582	2.05260544778707	1.88638550928528	1.2453713209944	1.74238583523544	4.41773756840066	1.81395990921608
hsa-miR-136-3p	0.999105473719116	0.607534567955214	0.757474828439629	0.778652239832877	0.965300312758556	0.900407358004436	0.964419257649968	0.748117001655265	0.756285532379196	0.86160136295014	0.580686591314775	0.724316000956985	0.888678102134235	0.845940808943111	0.777679619021533	0.826863447747015	1.11030136616572	1.01393900760073	0.790616753960121	0.74941255754352	1.60561023221906	1.17346129888295	1.07227666499661	1.16160545989002	0.984916116481284	0.906532640925194	0.829040609678226	1.11219581818063	1.61410731550629	1.16885004692162	0.837600617602469	0.84543852763528	1.12259872708986	0.797277209029708	1.04028101383309	0.800246186765741	0.925480303282113	1.01089572872147	0.993913425389188	1.20161585889524
hsa-miR-141-3p	1.25647005569901	1.29522678728572	1.48056246837671	2.04311348541639	1.51156174332757	1.77052048813909	0.687134186435795	2.16979888337864	1.21081240658326	1.07073712444576	1.64216654081493	1.62747299395923	1.53043623904107	1.41438012249089	1.12179915962812	1.36927758090862	1.45693511372355	1.29698527853904	3.0778950448544	2.5362884689707	0.962769820644805	0.937495621698845	0.943995020044219	1.40994816018035	1.13850777236049	1.59412675495295	0.758698769918693	0.747704225856834	0.793929131506412	1.33191503071169	1.07482614362532	1.28958862374749	1.00384570239259	1.34895861898103	1.00713219810829	1.05295277767706	0.896585028378963	1.12185031014567	1.17584305972147	0.918106727440601
hsa-miR-145-5p	8.07101322681595	8.36639486160543	8.27226258739181	8.27235503788036	8.19090079483836	8.08334253366174	7.42315839262844	8.52545955240221	8.8407263916793	8.88783700223069	8.05977446586919	8.33205408154693	7.93727436974012	8.55515592990869	8.67308154894016	8.87377471056232	8.13480207546372	8.18210930068518	8.81422714052249	8.90417828657676	8.7092739238887	8.96904546127965	9.83369695040499	8.33783784954934	9.00998661862652	8.90589658129133	9.27081993012624	9.16197659549352	8.98214646109403	8.87516881607161	8.38963768091188	8.61706426667772	9.35205285251375	8.51160459400075	8.56267862909897	9.04970411188264	8.60109684023711	8.54573806149321	8.63755405631557	9.63136019920258
hsa-miR-17-5p	4.37646112647162	5.20970537184245	4.76191104377197	6.79263776665623	5.61235794643203	5.37145601415253	6.54141032477793	6.42974223578491	4.93009165092695	4.76404505353999	5.83603609107649	5.14894404818914	2.49656820112434	5.00042575444003	5.05439741961188	5.40789243896592	6.39948619410404	5.06179965964129	6.16599091169889	6.01706760539537	2.88498510173602	2.53160210093321	4.1115104810977	5.64259623955447	3.45353821913023	4.93301349237272	2.74299642791185	4.43479637429299	4.08406787705423	5.09498457141182	4.38187002408621	3.69760534862385	3.57125128954111	4.10781212135701	3.05549891247051	5.1309401526487	1.33410540925984	4.10669419398801	5.44168574139461	3.79943092720039
