SystematicName	GSM526419	GSM526420	GSM526421	GSM526422	GSM526423	GSM526424	GSM526425	GSM526426	GSM526427	GSM526428	GSM526429	GSM526430	GSM526431	GSM526432	GSM526433	GSM526434	GSM526435	GSM526436	GSM526437	GSM526438	GSM526439	GSM526440	GSM526441	GSM526442	GSM526443	GSM526444	GSM526445	GSM526446	GSM526447	GSM526448	GSM526449	GSM526450	GSM526451	GSM526452	GSM526453	GSM526454	GSM526455	GSM526456	GSM526457	GSM526458	GSM526459	GSM526460	GSM526461	GSM526462	GSM526463	GSM526464	GSM526465	GSM526466	GSM526467	GSM526468	GSM526469	GSM526470	GSM526471	GSM526472	GSM526473	GSM526474	GSM526475	GSM526476	GSM526477	GSM526478	GSM526479	GSM526480	GSM526481	GSM526482	GSM526483	GSM526484	GSM526485	GSM526486	GSM526487	GSM526488	GSM526489	GSM526490	GSM526491	GSM526492	GSM526493	GSM526494	GSM526495	GSM526496	GSM526497	GSM526498	GSM526499	GSM526500	GSM526501	GSM526502	GSM526503	GSM526504	GSM526505	GSM526506	GSM526507	GSM526508	GSM526509	GSM526510	GSM526511	GSM526512	GSM526513	GSM526514	GSM526515	GSM526516	GSM526517	GSM526533	GSM526534	GSM526535	GSM526536	GSM526537	GSM526538	GSM526539	GSM526540	GSM526541	GSM526542	GSM526543	GSM526544	GSM526545	GSM526546	GSM526547	GSM526548	GSM526549	GSM526550	GSM526551	GSM526552	GSM526553	GSM526554	GSM526555	GSM526556	GSM526557	GSM526558	GSM526559	GSM526560
hsa-miR-877-3p	5.7660914090634	5.74568636856982	5.8086776937569	5.73437560370807	5.81338020535865	5.57143972261245	6.23988143889716	6.50908168480898	5.7824563260071	5.75884941012044	6.47725408000155	5.55986073561239	8.5238943973937	6.54692539480209	9.06574645501752	7.51720968694516	7.89288593765598	7.62983769761616	7.2412720054699	7.89681747084096	7.48489293761596	7.09372207911936	7.03320893588133	6.4261888496245	9.36140418003379	8.79202398686541	6.42120883974539	7.94450176371119	8.21909613423253	8.07245407497067	7.04474272020238	6.48646758760583	5.93817870414113	6.6426093588459	9.27969804297785	9.09491362621518	6.55503794623077	6.62802874707486	7.17940300602372	6.34690237571007	6.83552327077652	7.08169441548981	7.61973509626599	7.23724505489726	8.06334295949988	7.16565624245702	6.59991184766324	7.59759052094214	6.62547591923723	8.43735495527659	7.45943590404248	6.22980458135491	7.345810153092	6.49075216848562	9.27171488735608	6.44795681910028	6.30365292480784	6.35664802822118	9.07382645780452	7.2888139952151	6.78189813797206	8.82028262392787	7.09547326209882	6.59317457395546	6.35621404011183	6.72823644160429	8.86490593955849	7.4339608282338	7.4935246526546	9.38513673071293	8.58552320541452	8.63760638173204	6.70600530291906	7.8133335646833	6.96626526149038	7.2888139952151	6.37228048891073	7.56874503973146	7.61519521098765	6.25297029246834	6.15617738695391	6.5043277023113	6.91668259194673	7.56015397528685	6.47993141828064	7.36183671957871	6.438275901834	6.93452372869223	7.59326730305656	7.55127461132554	6.34240933696069	6.77205257024034	8.812299055608	6.65076973521349	7.60341749700942	7.65714004193439	10.1015086898443	8.10560566159901	7.88031713873516	7.67248451111881	6.96313493282968	7.97549680833475	7.20927306685788	7.99446471393305	8.27817239523671	6.69509027432392	6.9230501902238	7.84132324638896	7.50838349230879	8.05631088267849	7.25611912716041	8.62698694891623	8.88061960729632	6.77205257024034	8.27427590161032	8.79314362723472	7.86988450199886	7.45315921447699	6.93026590858462	9.72292111583282	9.30852800542517	9.78707295081508	8.0825905881146	8.95676696219082	7.82571252839777	6.92503587834342	7.05468312090372
hsa-miR-548b-3p	5.23379946826053	5.1658823960509	5.29353637357721	5.20445203338157	5.32802215703411	5.167084552505	5.4020755341628	5.26136362317457	5.40419019057801	5.36666900214717	5.43006932989401	5.19590965480654	5.21487495056236	5.17694264281271	5.09011795412335	5.23467185499874	5.13883080977054	5.20790744961214	5.30051040267121	5.17054428743323	5.17525657057277	5.10356391709428	5.30965021107066	5.4541560340329	5.27235372236332	5.3301704160886	5.22543876382739	5.29373064323965	5.24113646102528	5.19112864425009	5.21509530556434	5.28211505400629	5.2246238591166	5.3426858420271	5.32764271968583	5.42826197651043	5.28587428369981	5.08435506397504	5.32164396802695	5.24113646102528	5.48442376115716	5.15680836137701	5.33420554442757	5.16821520346137	5.26571981308538	5.4023157840864	5.20169396464089	5.47372987670893	5.34262324885972	5.4034702569565	5.65091439509305	5.37755745914106	5.15495600616696	5.20445203338157	5.89716632701456	5.11742483550548	5.39979183750653	5.10196056835725	5.39882891397745	5.23897568852299	5.20348730898078	5.3433116243836	5.28357911636342	5.15837388357334	5.15808936950244	5.11415621933148	5.35537085911672	5.11569543465316	5.24325093295676	5.33665456191788	5.18587218317295	5.18035950229921	5.54372995817027	5.25373506896561	5.16687245676742	5.37841256410556	5.21031063221827	5.22340061167879	5.33577433707915	5.19480050947047	5.23467185499874	5.35530881390434	5.6006905409495	5.42248840313129	5.0784670274065	5.14508360133595	5.34155874930409	5.17680221203068	5.19404574157833	5.15780479931141	5.70280553564131	5.16353523531987	5.30926591024692	5.24512733532179	5.23534627655484	5.28561383710575	5.25758879419203	5.211887712998	5.12442662282472	5.14996538555397	5.28893101247915	5.35778854344416	5.32726318251703	5.37780182656716	5.3421850206324	5.25626029682482	5.16899194677322	5.19376817676858	5.46483052484619	5.34618673223796	5.36763644210348	6.04888912409519	5.7349478174226	5.19722065734371	5.35097059981109	5.25253626743595	5.40045279994616	5.39140217023312	5.0910865740063	6.35664802822118	5.5259700460347	5.4149335734341	5.27963244489821	5.70295182404925	5.17124935567153	5.26868772045758	5.29022978717734
hsa-miR-613	5.23379946826053	5.07043024994911	5.16050594397051	5.16346436606271	5.3983472110927	5.21250436672134	5.25944664966453	5.39575257795978	5.31489208526565	5.13195869908878	5.30478619839512	5.19590965480654	5.73646781100583	5.25579502982027	6.331458134134	5.88227648329454	5.58364675303914	5.35209036638518	5.75448320559615	5.97374372137917	5.43547918663594	5.78282544622044	5.99873780307189	5.64323724555891	6.37557176270771	7.36329607157678	5.63144897912985	5.51660467294248	5.92447162027421	6.04454237343226	5.31259312138747	5.30773903267229	5.24398838210934	5.18280062117112	7.59326730305656	6.63944476645808	5.18664200667755	5.29521808233962	5.50652266114575	5.43705620745344	5.36740753180151	5.25778796189166	5.93994998231059	5.56228131344688	6.54878091156516	5.45953038140952	5.3983472110927	6.17155705573524	5.34262324885972	6.85107381046683	6.52449828931012	5.24539519368966	5.80164166202781	5.34318648962553	7.50545605188741	5.59790424060852	5.15495600616696	5.34424978926457	6.88662598913416	5.47943272752317	5.51015938473295	6.75717517384473	5.57914107842898	5.42767198559644	5.40610825902852	5.3972095563809	6.3720351843946	5.68645394069591	6.43927140147382	6.57753098092298	6.85330205322387	6.39740225577974	5.86321764010443	6.0916208470747	5.40885923923452	5.74274931902164	5.32941257118554	5.59912265359919	5.90634827306346	5.38444724063371	5.47661451420453	5.35530881390434	6.12662690594186	5.81121054303047	5.38692134577638	5.55348348083287	5.65211841703216	5.84636179285321	5.76229483462052	5.72195852895879	5.41529073627114	5.7185887841058	6.9377325948787	5.44679193964125	5.61670891311348	5.64202007412476	7.35781580954209	6.08728493470633	5.70341357036735	5.52431536705762	5.25293597863819	6.41548774180459	5.36229883972384	6.26063916598212	6.31236995403954	5.39641196972731	5.56827195661396	5.81544593485926	6.05476447489063	6.12662690594186	5.50691371528718	7.14065511876759	7.20775330273788	5.60776901511351	6.69387565171414	6.55468511687905	6.24440677352119	5.81571652568033	5.49128568577563	7.73482036388607	7.96046878674424	7.61456029587774	6.06540188299555	7.65193546980822	6.20309305768822	5.21952824682301	5.37497926289076
hsa-miR-154-5p	6.08905020956756	5.63451998097958	5.63101184714839	5.50932677924899	6.05322372824743	5.74060392927885	5.69659901451322	5.66943034209783	5.80438288582666	6.1565334923469	5.73951091819124	5.85705321607176	5.43077611488167	5.69816538042087	5.5580861735814	5.47738547951138	5.50457007377708	5.68965625731293	5.49004290587317	5.71810635660489	5.25353533787423	5.60797734335855	5.7637117431182	5.84954600326102	5.53065757619378	6.0635058563967	5.5880792703536	5.55342939677915	5.64354213885705	5.62082144657491	5.77228959410825	5.61881012908517	5.51181557942354	5.56859310979745	5.5811585958022	5.50612933736821	5.54732873642628	5.76502013296794	5.69889902942555	5.98860941975453	5.89863479448096	5.94995570771784	5.80540711979567	5.69174511080643	5.48521783090909	5.61078570620948	5.59564741910749	5.56805781476766	5.78385177135958	5.78005473986594	5.65091439509305	5.67406797604715	5.69821430196316	5.44638424232521	5.67923119638049	5.59790424060852	5.58588798009331	5.53719088122136	5.80388285037737	5.34029549675651	5.8416738089731	5.59938462441236	5.66042518020893	6.05820817955225	5.68478158656096	5.68941017746638	5.41505263753799	5.33577433707915	5.53181097117409	5.69547213764661	5.38420399633128	5.37173246674135	5.62123432119705	5.79494223236182	5.40885923923452	5.419880210603	5.67302292350428	5.48601146383056	5.50109711350746	5.79626584939487	5.52541869721668	5.53049273018242	5.76408568988542	5.69968117736494	5.7869826365987	5.62247223659064	5.82287552322956	5.53203056094718	5.53811417171663	5.47464409876247	5.70280553564131	5.78917823558402	5.56125962129953	5.28691559819589	5.3722836684021	5.69525297442032	5.92951893350292	5.57860968354484	5.32316743472954	5.7677706362574	5.88244871718287	5.76646473960927	5.84280161126154	5.7425074896743	5.86777887961158	5.68507782614417	5.73813426955695	6.05269768334844	5.77298650981143	5.63676790156597	5.88087064412138	5.99123291642613	5.81446381414386	5.81432840754745	5.8792547594228	5.66823208724506	5.7634193850184	5.87514989102644	5.7322386391418	6.49936864946881	5.84041214378164	5.65801563076758	5.84129844949208	5.89769790368764	6.03997142546855	5.83640573643248	5.64151134629791
hsa-miR-505-3p	7.58936865507183	7.38227726850764	7.50391760316785	7.39235856894887	7.57425522849656	7.43979740343287	7.53543078029689	6.68214127520954	7.36515811762446	7.83592213697345	7.52533158268383	7.6662552921857	7.60977915771319	7.64943762631653	7.46837368620895	7.41065167854015	7.31539323466256	7.09670282805045	7.26865466490468	7.30909556491467	7.50275800154414	7.84752364616633	7.70319304800715	7.61352252457958	6.93940160837314	7.39564000029812	7.43697939205692	6.73874991913074	7.38227726850764	7.28730723582577	7.38789149651767	6.97454705726708	7.33670814149286	7.53596126681471	7.68017164729295	6.97551616865345	7.38928683516647	7.4598542124176	7.15000173126425	7.85394645221162	7.38373659438346	7.47966401176134	7.37663766717291	7.37783657950037	6.75603159972115	7.37406369237195	7.4226341526148	7.41561406673674	7.68085232050751	7.67789320891787	7.23935704620883	7.4130156017463	7.532479845572	7.43548556814417	7.24532969453994	7.4598542124176	7.64995621355697	7.41604256262355	7.7616484936877	7.24285767195254	7.70535681831315	7.74671549487729	7.41258333760758	7.6945500326643	7.40759467988592	6.98194760154198	6.46767519348933	6.57790325610278	7.06467680320596	6.94192495999773	7.17829138659962	6.76859150220864	7.41685744166058	7.19790792101944	6.88617513883281	7.14509169194533	7.0869055170579	7.15986045279965	7.05050484218106	7.31098862614711	7.60341749700942	7.33185282451003	7.64434874838226	7.46997178773159	7.52152952160605	7.46837368620895	7.36957787906373	6.95219058931227	7.49863676473841	7.08208768728579	7.49258986618853	7.41462510698099	7.25662532652938	7.4252021632679	7.33915271243156	7.513989603995	7.38519516212837	7.10960692582053	7.35924044907998	6.88263105169188	7.13903125745933	7.27113935036759	7.74723039696442	7.45012427829429	7.61033819236198	7.46198846966923	7.9563043252647	7.9513365249754	7.92116380055411	7.10994779039959	7.98604268886133	8.07819483666462	7.66113258011493	7.79020852791305	7.91922690732753	7.20308695638823	7.62256772833235	7.80805471040397	7.44799814816349	7.91554663624783	7.67380110486884	7.56874503973146	7.45012427829429	8.0802336325013	8.07671822589937	7.62983769761616	7.57303452444546
hsa-miR-652-3p	5.95200862776066	5.63451998097958	5.72277637370802	5.99925409083224	5.77372951567922	5.99035421705429	5.35443990063832	5.2086631832918	5.55905284194566	5.75884941012044	5.70375940787174	5.67645382874169	5.68309238100116	6.08545484130412	5.20410756300369	5.51809558046034	5.43006932989401	5.61607764507673	5.58290506596336	5.44411067433286	5.48737096237738	5.70026751017117	5.90190728498904	5.99211108093605	5.50143357205855	5.66488462731509	5.94519959261416	5.52365296371377	5.71386219115121	5.50249850676581	5.69069710944837	5.51270599005923	5.81087244805288	5.65721055837352	5.74417162671487	6.01322547046802	5.7163764335748	5.60948364147796	5.60849803239583	5.73161735925875	5.68758788088537	5.63221734266349	5.72450675130315	5.75608199919657	5.61047381035605	5.49342931124231	5.66037496029146	6.01625934669014	5.78385177135958	5.83760520139546	6.19049081122304	5.67406797604715	5.76274027189308	5.66583258770743	5.92124774836352	5.70070710344808	5.43165910946874	5.47886330020623	5.98686922890451	5.44725773839761	5.80540711979567	5.61808630539704	5.46051132732265	5.68392967662859	5.60100455880193	5.33866448951636	5.35537085911672	5.25386820766631	5.45699219424824	5.43312956721321	5.81157238008764	5.46845878225288	5.72792536743202	5.4836292541028	5.16687245676742	5.48379954245231	5.46559141536708	5.52530840216376	5.39140217023312	5.85086187106562	5.54971038759861	5.54187747226596	5.76408568988542	5.69968117736494	5.54905954480929	5.51493921131845	5.58184485112153	5.53203056094718	5.76229483462052	5.53582630216075	5.41529073627114	5.92993561136446	5.4820426450236	5.28691559819589	5.57462529453041	5.57037104536015	5.54449205564314	5.34718542719629	5.44702485781831	5.88244871718287	5.72070955071311	5.90939206155077	5.86438064760061	5.84258031658248	5.7302331644102	5.75066979500578	5.82260627194382	5.48153765654103	6.06149163100231	5.28462208071622	5.52699604205338	6.5120871491692	6.48992752079999	5.75992787322334	5.59346773868534	5.62360606000809	6.00142646121508	5.66613274349071	5.55337531069783	6.00895983982466	5.88408391441405	5.53751276133398	5.77372951567922	6.19522177569031	5.70329310599278	5.46868445094244	5.70704125242599
hsa-miR-362-3p	7.91862962319067	7.70535681831315	7.68725356941093	7.85071345913441	8.31043574091242	7.85252191383851	7.75494457941627	6.02440188784013	8.00613357867809	7.86341995949889	7.87585892936965	8.3921876624133	6.94311049153804	8.03760563540217	6.84735027040211	7.23186810324703	8.00335610284937	7.47855691637776	7.8133335646833	7.87165765615609	7.66470641145972	7.99446471393305	7.43160719938354	7.37192626979642	6.77472206553708	7.18368271123427	7.79686868732586	7.17794911057422	7.53490009864465	7.52954333013525	7.60458649879025	7.28000163370454	7.40070341118486	7.03565834095269	6.76137064351652	6.81933192519755	7.91459883811239	7.50892408683788	7.25972412507658	8.13709206554061	7.56994575586713	7.8893953025079	7.49805334102584	7.61718394419121	6.95813287795357	8.13234408238596	7.61922441749223	7.23935704620883	8.16028608173244	7.17794911057422	6.94076609489008	8.14742646524017	7.25121605578524	7.49805334102584	7.08115925265939	7.69072329180097	7.50391760316785	7.63931970696261	7.28047657125174	7.57564182281154	7.90434222640705	6.89830115269911	8.43102112085838	7.13330843451145	7.63028354145645	7.37727945235672	5.90732196030966	7.36183671957871	7.45943590404248	6.19924258977235	7.0614818874443	6.80455709368231	7.31888693737039	7.93409145665873	6.94076609489008	7.5441382321318	8.35552947312577	7.61718394419121	7.60874453566081	7.72254154892873	7.35331705174753	7.94873940538832	7.93144845839501	7.40982293183666	8.97306048616615	7.41258333760758	7.82636961995904	7.17690294048735	7.50728567413476	7.11416760774681	8.01515032393473	7.69384499069238	7.72064873054678	8.24286217138606	7.25934286906451	8.04475301057347	6.25121577193741	8.63244133221997	7.35271930524344	7.14957245481238	7.36054688447036	6.59196985407996	7.74723039696442	7.31373461515814	7.0742011658496	7.21010617238258	7.87472935478806	7.63123296375539	7.5441382321318	6.04558096566384	8.06958225831282	6.66810018908368	6.66665083614009	7.72009705199822	7.11724307119699	7.29644706271488	7.43118721099555	7.60182363819704	7.31489538918187	6.46402121415137	6.44641403252421	6.35799279389846	6.80304788592209	6.83839445338135	7.22846860126609	7.56114823964915	7.65714004193439
hsa-miR-484	7.31489538918187	6.82327025031834	7.03665012249403	6.90359396663295	7.39034308660549	7.07965834142994	7.33283931362234	7.16075602902784	7.26821223135997	7.32787233509902	7.2580140427276	6.81892798985885	7.25028246319925	7.22349689495346	7.42726188882544	7.32787233509902	6.7074320265167	7.03030927130472	6.90236933595029	7.24367081381354	6.4572007256147	7.61973509626599	7.29644706271488	7.75670320620195	6.6172096845233	7.19007844320535	7.513989603995	6.66978265687008	6.83598931259872	6.75878701626958	6.99714143005419	6.77722559698737	8.05067394721816	7.57564182281154	6.8967240548223	6.37478863286966	7.26865466490468	7.23229808450701	6.85813302108875	7.19718708787071	7.02089366194419	7.22067675966836	6.87773482191537	6.99758560860561	6.39613990249703	7.08285561827475	6.97503169433374	6.80935041867993	7.83592213697345	6.91592556086147	7.52004370887984	7.36183671957871	7.32848949403544	7.24455943267077	6.89991226069252	7.40686854679316	7.28730723582577	7.04474272020238	6.82102806733658	6.69945568156837	7.58878008010838	7.23401248050276	6.958520952074	7.91554663624783	6.92147938295396	7.25262119623492	6.82070228170782	6.7074320265167	6.26047351998002	6.96041916688755	7.01338391167983	6.31409063319526	7.06317712053808	7.4226341526148	6.99364767532941	6.46318660039444	7.31784664395504	7.15986045279965	6.3551595251501	7.27674709894174	6.77626708543052	7.16305766613456	7.23843949110808	7.19718708787071	6.96448631753808	6.88120108171289	7.19588025646773	6.8653408293674	6.9425324131676	6.61614849935402	7.00112661433382	7.55966440489443	6.48377791966179	7.02402288930316	6.66665083614009	7.05468312090372	7.70124318232748	7.25375874947727	7.40184871454864	6.97874915743353	6.96707775681658	6.61353444465899	7.72834939865592	7.09483216193496	7.4886531052505	7.23935704620883	7.69204496662781	7.4736283516583	7.53865944887225	7.72490754274245	7.01800698229022	7.38789149651767	7.07453033635658	7.5093425462505	7.39762541347957	7.10383822362423	7.27345599856036	7.53658743398649	7.43607755254527	7.3105249275802	7.08744852900035	7.12147892964664	7.54222970466408	7.32409486623665	7.40070341118486	7.22025350913865	7.36233100340657
hsa-miR-513a-3p	5.30253541753437	5.51698663340327	5.37222234631839	5.50932677924899	5.28305734658144	5.25639320270014	5.4020755341628	5.61187681100156	5.55905284194566	5.56887356602978	5.07043024994911	5.42767198559644	5.23366446449326	5.46587499093358	5.13485322170816	5.46293198510667	5.3722836684021	5.3717938096506	5.36402671082728	5.536862660264	5.46114570179862	5.39798582835096	5.30965021107066	5.20687626528218	5.19432325299675	5.1810597911249	5.46460046389421	5.41258205624207	5.34997452158765	5.19112864425009	5.21509530556434	5.31987202448288	5.26467089620683	5.23715617826248	5.23635583950439	5.27327348557003	5.23467185499874	5.31374305967543	5.27669471199354	5.03938760070162	5.14648270638073	5.18224109300115	5.26769909175376	5.59412663129384	5.23702148825718	5.16565453927466	5.44702485781831	5.25095697504924	5.21714523428026	5.14163426789422	5.0910865740063	5.30530016992283	5.06330827342403	5.31936085314288	5.23588558689428	5.35283639488063	5.49669026414396	5.26868772045758	5.27182787623758	5.49275304675674	5.31705903163443	5.3433116243836	5.28357911636342	5.13079926201812	5.21536879774373	5.15538368395568	5.53049273018242	5.13384079924688	5.27525716211838	5.20445203338157	5.24913999369047	5.35816013553378	5.23602038298412	5.12049461881157	5.26842415237129	5.35778854344416	5.46559141536708	5.44297134695308	5.32814861318156	5.30858689756369	5.50171389425659	5.41570731445072	5.23339441906966	5.45733526402936	5.25386820766631	5.2665778397624	5.34155874930409	5.49190667449461	5.4045500227106	5.27545390870373	5.63635944916805	5.18412863133218	5.30926591024692	5.37890096763219	5.32348462174136	5.15566873206308	5.21250436672134	5.51604973266546	5.38444724063371	5.23675207051675	5.36415005104103	5.24046474143091	5.06019598228831	5.05645092615786	5.13883080977054	5.32726318251703	5.3308016495498	5.17349814754862	5.1810597911249	5.17539715187959	5.26460482499219	5.11305577352228	5.16508832026173	5.31399847779283	5.19604823803644	5.09884331041961	5.07560766509779	5.28133153361471	5.18706039180065	5.23857209018327	5.348776589202	5.23413209066446	5.12735203487039	5.19666669498565	5.36415005104103	5.17356852564008	5.20735757635963
hsa-miR-1224-5p	7.71960307852661	8.39739395261078	7.83824366603652	8.23339252743225	6.87057331157584	7.96046878674424	8.56982070612297	10.0394220785726	8.40139719566245	7.43442715982673	8.29461019039651	7.81270340317937	7.42346296064352	7.73317624125023	7.29971345359704	7.87340513717807	8.15736796439808	7.6945500326643	8.08826588221798	7.89681747084096	7.79497047794006	7.00462077297967	7.75019128657581	7.43442715982673	7.57182280120831	7.78766367788072	7.94501203068487	8.2733588508199	6.710816138101	7.23186810324703	7.96873022133548	7.85949721726353	7.85949721726353	7.65413620865415	7.38062474101912	7.58306743979341	7.85132238278128	8.10697627372415	7.90739267170382	7.81502884734781	7.83942995840379	7.57303452444546	7.63687893426001	7.51555829749025	8.37255440069196	8.05698750568639	7.76249094125418	8.32889097622172	7.06848405538207	7.28314770275157	7.75609726551733	7.48812974891475	7.59477301564334	7.80375383692709	8.50379441896474	8.13928250141896	7.42161331358548	8.17843948665502	7.63123296375539	9.41495934177167	7.60826900827622	7.43022414858935	7.63448934025651	6.90984241326094	8.46435934200512	8.68308513271765	9.08368345700178	8.18665193110216	8.13829270589505	9.12861557237041	7.95869768126816	8.40069183455432	8.4476648676226	7.2482948885125	9.64938768807873	9.45628460063525	8.42715525982413	8.42140886729576	8.89811449741337	7.63755545564307	8.5499669298388	8.08826588221798	8.11703266909469	8.84691731949289	8.45794067699951	7.86623350466706	7.92356574550483	9.1652376822743	8.16940803605986	8.50206989847598	7.65193546980822	7.83194809861761	8.00405872119994	8.29287090483724	8.55851010120463	7.40566278117224	8.17511616017244	8.21217823682304	8.80417072318652	7.81699170908217	7.68384350968779	7.20826867369283	7.35271930524344	7.50609238520908	7.36904799739411	7.71422301496088	7.5629305215292	7.10994779039959	7.40518335503679	8.71051987061865	7.34978697113004	6.69299636881083	8.27053170462598	6.91713519033897	8.03624012385945	7.55337358703176	7.74950573463826	6.77008601425136	7.66072514378683	8.4164048592444	7.66844284896319	7.87585892936965	7.36470395687459	7.19718708787071	6.8352341258776	8.02426850475842	7.72064873054678
