SystematicName	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-let-7a-5p	-0.532497589173998	14.210960611249	-2.44420339066507	0.0157631881216998	0.0442540077958675	-4.39609938034461
hsa-let-7a-3p	0.581304197819899	6.23866664120769	4.30843733424826	3.08095772137004e-05	0.000179806316595635	1.40806113579624
hsa-let-7b-5p	0.33900941802742	13.9564260195961	3.28363606392111	0.00129505983958559	0.00518949529525423	-2.12182224391295
hsa-let-7c-5p	-0.373512962626902	13.1804520865214	-3.31340693224598	0.00117381046942585	0.00474603175378432	-2.03048262010288
hsa-let-7d-5p	-0.645224107107968	10.4494854408981	-2.93406896724415	0.00391194263347028	0.013521474460821	-3.14072601034463
hsa-let-7e-5p	-1.34207392925823	10.3668930063485	-5.40668871580126	2.70465482069427e-07	2.50818988747499e-06	5.97522122927997
hsa-let-7e-3p	0.184078747510545	5.20785615327396	4.01233430555629	9.75808216878742e-05	0.000514920602600798	0.309475453302508
hsa-let-7f-5p	-0.701533134228194	13.7565808333675	-3.07026710341762	0.0025704962336428	0.00942211858346431	-2.75561502412505
hsa-let-7f-2-3p	0.175457249986648	5.49005921142378	3.58537016527905	0.00046431072151601	0.00207360274434764	-1.16389167939637
hsa-let-7g-5p	-0.623637548201561	12.1741162402001	-3.1540713094831	0.00197158623428025	0.00750273313588094	-2.511076044782
hsa-let-7g-3p	0.103722833191099	5.47813964462759	2.41101621398387	0.0172079526788216	0.0474877381555012	-4.47361492076559
hsa-let-7i-3p	0.126072126059741	5.47168676080024	2.64702738468605	0.00905277509636923	0.0278368696747588	-3.90136860389609
hsa-miR-1-3p	-4.87710128676037	10.5656313364936	-18.3663087419315	4.4456897742378e-39	7.47765020026798e-36	78.3537162534047
hsa-miR-100-5p	-2.13425312949155	11.6119225428996	-12.5164777850913	1.40972954249034e-24	1.23982488390523e-22	45.2485846890411
hsa-miR-100-3p	-0.104360451423403	5.28053046046951	-2.4647010674664	0.0149256824500229	0.0423534337932324	-4.34773708887577
hsa-miR-101-3p	-0.90527775065744	11.0977020269903	-7.83790928833235	1.0543716752313e-12	3.20262421262131e-11	18.1808384583076
hsa-miR-101-5p	-0.21591037132805	6.10842270362227	-3.13932829109494	0.00206654967557002	0.00778674679526482	-2.55451052937627
hsa-miR-103a	0.272049499867878	11.5116896435793	2.94378702325022	0.00379821750604487	0.0131893715513135	-3.11375706157668
hsa-miR-105-5p	0.133478060148463	5.20218216651994	3.13264315498799	0.00211099291318492	0.00792785951432216	-2.57414746546182
hsa-miR-105-3p	0.134399241423384	5.22725906208189	2.62360021938487	0.00966742395767769	0.0294910126444142	-3.96034155636474
hsa-miR-106a-5p	0.23078350004823	6.11415494692667	2.56108229576229	0.0114958341806848	0.0341625319645087	-4.115388740382
hsa-miR-106a-3p	-0.350692133973095	6.3711697720988	-2.54222724422565	0.012105168671888	0.0356037485571419	-4.1614826158489
hsa-miR-106b-5p	0.83150806716327	10.9432193543444	6.63056644926514	6.75378485312997e-10	1.12334893675793e-08	11.8261410092252
hsa-miR-106b-3p	0.37704924661279	5.54065617013971	4.74456621928942	5.10460546179374e-06	3.54791173005664e-05	3.13321942937004
hsa-miR-10a-3p	0.172818032740884	5.37151374023881	4.18539009070311	5.00866599839582e-05	0.000278153568610871	0.944156327260258
hsa-miR-10b-5p	-0.71244554388422	9.57666800531874	-2.75644467047806	0.00662376041623627	0.0213279062361511	-3.61968048082713
hsa-miR-10b-3p	0.466279586771615	5.9720780345077	4.16820021041897	5.35636301978746e-05	0.000295632570936259	0.880176176330195
hsa-miR-122-3p	0.0925470944648836	5.19749008040064	2.43044021284358	0.0163487274538758	0.0456312957102993	-4.42836427870399
hsa-miR-1224-5p	0.99820864188442	7.9965388142547	5.17762884673736	7.67631734150134e-07	6.43567141104311e-06	4.9634119057015
hsa-miR-1225-3p	0.314482268698876	6.37206236773434	2.5380126859843	0.0122452641114121	0.0359686256020871	-4.17174327739199
hsa-miR-1225-5p	1.55484203389567	10.9783596610893	5.62257868471673	9.87434110164926e-08	1.01272205688866e-06	6.95483890240048
hsa-miR-1226-5p	0.491736970241147	7.21297129231679	3.28094348948316	0.00130658370942983	0.00522944390068047	-2.13004851820087
hsa-miR-1228-3p	0.713729488663261	6.67020689804829	5.7897765397825	4.45497829698664e-08	4.99135620018753e-07	7.73003627869093
hsa-miR-1229-3p	0.708528287070479	6.43021966717502	2.95773276488197	0.00364031767445095	0.0127099415224214	-3.0749182248852
hsa-miR-1231	0.0815765460011315	5.12355221230605	2.66463732714426	0.00861421307703936	0.0266405081968838	-3.85672731358774
hsa-miR-1233-3p	0.125626852185155	5.29036626074397	2.77960054931788	0.00619269862779377	0.0201277663612543	-3.55875430192739
hsa-miR-1234-3p	0.711062333074198	7.85885516917437	3.73099348176248	0.00027658606526442	0.00132493488579496	-0.676540108967755
hsa-miR-1237-3p	0.234259518431127	5.67133289216073	4.63196465926117	8.20908492947493e-06	5.46297956533208e-05	2.67606125112361
hsa-miR-1238-3p	0.42343461537478	6.36334906322236	2.5741692884096	0.0110892309067069	0.0331297132819067	-4.083213525632
hsa-miR-124	0.10724124892306	5.24085876824043	2.83642431188794	0.00524095279570698	0.017456005153226	-3.40731428714695
hsa-miR-124-5p	0.100626072080809	5.1668151859898	2.58206731623485	0.0108501386348153	0.0325528351103845	-4.0637235862217
hsa-miR-125a-3p	1.94643933784651	7.4287737298936	8.25899916610303	1.00606937649803e-13	3.85688590602777e-12	20.4982471350172
