SystematicName	GSM901263_Benign21.CEL	GSM901262_Benign20.CEL	GSM901261_Benign19.CEL	GSM901260_Benign18.CEL	GSM901259_Benign17.CEL	GSM901258_Benign16.CEL	GSM901257_Benign15.CEL	GSM901256_Benign14.CEL	GSM901255_Benign13.CEL	GSM901254_Benign12.CEL	GSM901253_PCA21.CEL	GSM901252_PCA20.CEL	GSM901251_PCA19.CEL	GSM901250_PCA18.CEL	GSM901249_PCA17.CEL	GSM901248_PCA16.CEL	GSM901247_PCA15.CEL	GSM901246_PCA14.CEL	GSM901245_PCA13.CEL	GSM901244_PCA12.CEL	GSM901243_Benign11.CEL	GSM901242_Benign10.CEL	GSM901241_Benign9.CEL	GSM901240_Benign8.CEL	GSM901239_Benign7.CEL	GSM901238_Benign6.CEL	GSM901237_Benign5.CEL	GSM901236_Benign4.CEL	GSM901235_Benign3.CEL	GSM901234_Benign2.CEL	GSM901233_Benign1.CEL	GSM901232_PCA11.CEL	GSM901231_PCA10.CEL	GSM901230_PCA9.CEL	GSM901229_PCA8.CEL	GSM901228_PCA7.CEL	GSM901227_PCA6.CEL	GSM901226_PCA5.CEL	GSM901225_PCA4.CEL	GSM901224_PCA3.CEL	GSM901223_PCA2.CEL	GSM901222_PCA1.CEL
hsa-let-7b-3p	6.25950542707417	5.82030465712436	6.51913700602466	5.78758827777432	5.00915051588774	6.59834551990931	6.70637110430177	5.96601533946886	5.79041906609121	7.58234841997363	5.93270029486165	4.61016650330168	4.53936279235192	4.89079420484794	5.65703469629653	4.34341684988965	5.07570753240741	6.36422979572635	5.44935657941713	3.93569566316194	6.72490206023517	6.33019013525956	6.50015742235776	6.15320164123773	5.24978071342104	6.01095879823949	5.95284314308884	5.2709689234159	6.44301825848094	6.5084806186509	5.0190837599491	7.13600812860597	5.28925393057616	5.39737051014171	5.96754039921217	5.39538392891759	5.43414038923009	6.43371306620108	6.19350867836468	5.07239529100818	4.88872078567251	5.72839674665812
hsa-let-7e-5p	10.842062137535	10.7689108010195	11.313782019662	10.0386403176717	10.5797438839134	9.96380900698161	10.3498920751539	10.5867480241702	11.0849729689503	10.8671160530676	9.89059333323581	9.695815325297	10.253186475874	9.63612169410964	10.0404248269579	10.1555572683682	9.84880981166795	10.7698826748447	9.93227861057188	9.3243616045551	10.978017512621	10.0689359999342	9.93983357564032	10.8422082070911	10.1119986325784	10.5605591920048	10.4953852762684	11.2219115593413	11.305340539944	10.8206511436511	10.7632585197871	9.80212076385133	10.1395106343133	10.4954265996786	10.4805701784974	10.4102641169797	10.1346554068026	10.7233619480477	9.63617176098264	10.5849657960134	10.4619948655977	10.3253195914832
hsa-miR-1-3p	8.47288636152054	3.39569564656656	7.81478580377009	7.24297087844685	6.11143893678715	7.23793351705329	6.00056507387334	3.11526876539231	8.08640027411413	4.87720712789468	5.28884417396681	4.20866104431047	4.95127597132412	5.71406907057935	4.76050981400634	2.10402377550004	1.97129119460227	7.21284588702136	3.91632936857864	1.83598960148599	6.46719271451718	8.24056585180837	7.02598249694721	8.35927619619967	7.96053925320217	7.59893520785262	5.8661250539308	6.56492013801195	7.91304185137125	7.92741240499741	7.06398147925321	6.61362014006858	6.52149954924971	6.84804202776765	7.15083437670548	7.3929297445904	7.04625846286034	4.56304120460921	5.96313200196671	5.59121777259255	7.46487442227387	5.32902877508369
hsa-miR-100-5p	11.7166933173401	11.3427064293266	10.96946148387	11.0465594478832	11.0919325222442	11.4070509463974	11.1592264864134	11.0555269740596	11.0899999226872	10.969442325157	10.3518398583607	10.7980282740427	10.5809113972666	10.6309161741555	10.4982395295745	11.3848522551662	9.11287732321443	10.6949548355003	8.92557837413367	9.09187823911776	11.6536674775176	11.5850046681133	11.4653059226428	11.4215602014738	10.8113388401639	11.3986138719809	11.0247181472839	11.3265220623514	11.4327379119111	11.5966331796911	11.6116970848848	11.1450244996363	11.0667421022778	11.2105945095938	11.0953361862436	10.8566047510679	10.0889041970118	10.7530469769626	10.0795312511489	11.4808234889339	11.1673555921014	10.2951310271786
hsa-miR-1179	1.76651389089245	1.297738461513	2.38171387834876	1.40044309506274	1.80192785803377	1.80886321751099	1.71786870194174	1.23633765447965	1.47102026862239	1.72554431838987	2.13221147271599	1.71145077769566	2.16325159046446	1.47296125623736	1.61441401448591	2.1909372327577	3.01025996086531	1.21190013477643	2.25728281159512	1.86425969858765	1.59385503956998	1.50746850267935	2.67735807729986	1.37915772617267	1.69329865326066	2.0696088994646	1.73419685179256	1.69763276294633	1.47108373267651	1.40311772069237	1.2768108852483	1.8692913909885	1.97035081641675	1.60762235226711	2.03197316937665	1.84110090323197	2.41312490001677	2.15742653942718	2.05750734140051	2.08100519812839	2.08288884155455	2.24978744335628
hsa-miR-1207-5p	11.9080251306229	12.1357401239972	11.5189599589025	11.8875016148039	12.0109919623873	11.7737338683482	11.6324846316323	12.6101465228713	12.1545729284992	12.120874527247	12.1339035547009	11.7449635834334	11.7862397512271	12.0266819572261	11.8230874782882	12.4447027393734	12.2494628526256	12.7464047926801	12.479788679334	12.0669754990111	11.8673437101757	12.4899112020027	12.3115331607618	12.3250970469485	12.1376253898998	11.4270327906464	12.3943161584993	12.2231113367728	11.8748515264986	12.2198819450441	11.6720279934097	13.3534380342915	12.5946035449538	12.9484397006144	12.8461613097572	12.4373395423458	13.1161777821398	12.5229117458441	12.505717492085	11.734066003923	12.3205670919035	12.5501205664716
hsa-miR-1229-3p	5.31621302303846	4.52999463466022	4.87895482897561	4.89577628207438	5.96080509748949	5.64510200468953	5.02288698514853	6.86776386389554	6.01987392420399	6.61528618310686	3.79543247870638	5.40686546102975	5.32930146210001	4.68771621714994	5.65444122050125	4.61110675784397	5.54827198755939	6.24676666255614	4.42189405843482	4.29347252559373	5.85779949598417	5.45287261152304	5.37122044168118	5.53415260575272	5.91064156779178	6.32355130885362	5.2013007381428	5.61488331606419	5.58410138227572	5.03398810331834	4.95424168301347	4.47186678907148	4.24001443454533	5.58366738086067	3.34878965776574	4.33437225727164	5.77332835209971	4.466080742467	5.02080528614853	5.38343326453099	3.9897606745538	5.49164218048824
hsa-miR-1244	4.6147527961736	6.74142167025813	5.41240645894098	6.23524962350562	5.42845272928906	5.66195821767156	1.86650333237895	4.82258988527083	5.42639380393958	5.9007334061588	4.96041930202425	5.70478528603003	6.27221037526912	5.7915154716562	4.73355218302501	6.57354002680809	7.52720667712992	4.26255616553315	5.68904937151449	5.28414052679311	5.01836965418383	4.47582794328505	6.44493641041962	3.52146246041546	4.37776443899078	3.75030074012645	3.68802299442218	5.71474649693837	5.18278527113487	5.42810387763029	6.86685051992294	5.40660609610997	7.45141060826775	5.81553655302508	5.36773323011545	6.36815558132301	5.83299709042287	6.82397932458518	6.0515940843499	6.96539253986637	7.07364609814263	7.12015760000099
hsa-miR-1246	11.464047132625	12.0834915131511	12.3138367875693	11.5234698264627	11.8626558027333	12.8358984312252	11.1174551799552	12.0974797447966	12.9902261022336	12.8834141819312	11.0800264021414	10.7875486564358	10.7237002965279	11.8861766009528	12.3204725720691	11.5691314246891	12.5389008323867	10.9837607203102	10.9661614407737	11.1209154305415	11.2741511240624	12.0258595195368	12.0469264060227	11.1426655243249	11.7473083269399	10.8385069356018	11.2367880074447	12.9335292500827	12.1276447217713	12.1451110303692	12.104240489889	10.922969085089	11.4549819684301	9.86678422845953	10.0142740298615	11.4481246195071	10.6921607309199	10.3466512635823	12.0455450337693	10.4056162178263	12.0070868568422	11.8695209196303
hsa-miR-125a-5p	12.1838291806385	12.2242788270198	11.868122565891	11.8117755769751	11.7124041318318	11.9723633441907	12.1724520423316	11.628265671557	12.0627070027652	12.0305822622685	11.4856589212953	11.3406272420762	11.348537192683	10.8035329692477	11.1629976258163	12.1870051421872	11.1770078102116	10.6250674664965	11.7423019262695	9.86955374131934	12.0546007116094	12.0501811968807	11.8376078782687	12.0338973205505	11.4716942067126	11.8235771544867	11.758061039333	11.659271973185	11.7485489669704	12.0818097632729	12.2396677461776	10.4660039962008	10.0665375626614	10.0249859355826	11.36948311573	10.5886230661801	10.716720842932	10.8401599156556	10.4777333614408	11.1501958003949	11.3534892560002	10.1966450850305
