miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-125a-5p	4.27661121987264	10.3170392805614	9.59891504740193	1.48174867431127e-13	3.85995529658086e-10	20.3511448426475
hsa-miR-184	-3.8330869114717	1.9556901857193	-7.45966039962989	5.13829713244276e-10	5.73654172714859e-07	12.6523533124978
hsa-miR-646	-1.35454654188679	1.28482059778947	-6.50428474438404	2.03590331608162e-08	8.41885490546756e-06	9.15940764690641
hsa-miR-1307-3p	3.15562961598113	6.44362771863158	6.50086166368635	2.06278743065103e-08	8.41885490546756e-06	9.14694967258394
hsa-miR-591	-0.967101370773585	1.16791517008772	-5.92704229878949	1.8342085806243e-07	3.46119767422153e-05	7.07250704557216
hsa-miR-20a-3p	-2.07564811020283	1.54962679605263	-5.74955538675744	3.5793488701715e-07	4.58567400334267e-05	6.43832785975342
hsa-miR-633	-1.29926164803302	1.5178526007193	-5.68307052969697	4.59281305476126e-07	5.1275477175656e-05	6.20193953657762
hsa-miR-513a-5p	-1.37126091907076	1.39763753010526	-5.66410041149486	4.93083360093393e-07	5.38160638393762e-05	6.13461663958632
hsa-miR-92a-3p	2.68443281536321	11.1404470479123	5.59540028252185	6.37397246971749e-07	6.00151745190869e-05	5.89129449232704
hsa-miR-1231	3.51611877601887	5.98010135875439	5.29120139124474	1.96731485790953e-06	0.000142357089023731	4.82404331613849
hsa-miR-519c-3p	-1.27363691511792	1.28571596926316	-5.2410954960123	2.36466784978649e-06	0.000164938078628296	4.65001348476406
hsa-miR-1229-3p	-2.08412393265094	2.05193758191228	-5.1770148577619	2.98966519906094e-06	0.000190106911807292	4.42824431000285
hsa-miR-375-3p	3.474454917	10.0439474833158	5.17457658758046	3.01641165247655e-06	0.000190106911807292	4.41982413965282
hsa-miR-339-5p	2.96885058145755	5.87492391352632	5.1595016901993	3.18708032563815e-06	0.000197674863054461	4.36779550364839
hsa-miR-31-5p	3.65081078941981	8.67757244578947	4.95922700641797	6.58934682436288e-06	0.000338787798897342	3.68172555572783
hsa-miR-873-5p	-0.894619619683962	1.09722254675439	-4.82189297567837	1.07828621330588e-05	0.000465569434087595	3.2172157144648
hsa-miR-574-3p	1.73792218792925	9.88340538789474	4.81069821011774	1.12221673022258e-05	0.000476279831373783	3.17957958537346
hsa-miR-425-5p	2.22207457093868	8.53301769157895	4.73379025119347	1.47512054938527e-05	0.00057353567629084	2.92199064351644
hsa-miR-1228-5p	2.40704556094812	10.3828451917368	4.723383774364	1.53053086652526e-05	0.000580635860286159	2.88726869568921
hsa-miR-1288-3p	-1.98060465772641	1.55412313231579	-4.64226114463076	2.038122606221e-05	0.000730638906771427	2.61771491086098
hsa-miR-409-3p	1.7324340294434	5.18119918108772	4.61577895184262	2.23696626381647e-05	0.000776972948965587	2.53015817702441
hsa-miR-342-3p	1.02816548095755	10.6750227796316	4.6091649799206	2.28951143541391e-05	0.000788217262896904	2.50832508180876
hsa-miR-331-3p	2.19207279546698	4.74579603585965	4.55893018191926	2.7298909499972e-05	0.000883887319791035	2.34295186753481
hsa-miR-220a	-1.33176957179245	1.58442941001754	-4.51746390161494	3.15473934699462e-05	0.000990132048062769	2.20706054122039
hsa-miR-1225-5p	2.24571657130661	6.87786798370175	4.48878449712759	3.48559249618411e-05	0.00104541896656997	2.11340640695682
hsa-miR-149-3p	2.87286982596698	10.5654716116491	4.41822987211536	4.44994857187031e-05	0.00122756492612544	1.88419216959451
hsa-miR-923	-2.35082683164151	10.1272400273333	-4.41750995622297	4.46101649417305e-05	0.00122756492612544	1.88186217991447
hsa-miR-200c-3p	1.13619417216981	13.267752802807	4.41045068902791	4.57097363330015e-05	0.00125340908576283	1.85902461926755
hsa-miR-146a-3p	-0.707811212320754	1.20860495694737	-4.27220255880123	7.33949530398329e-05	0.00178685843615668	1.4153651163412
hsa-miR-96-3p	-0.754340687419811	1.36053995642105	-4.26468425726241	7.52956618070511e-05	0.00181615925006822	1.39143843771615
hsa-miR-182-5p	2.58394275003774	9.26179183524561	4.2570233606359	7.72815056973717e-05	0.00184695708570324	1.36707977678988
hsa-miR-514a-3p	-0.919188653344341	1.20392630480702	-4.24671514522257	8.00339082380997e-05	0.00189912355643162	1.33433857244205
hsa-miR-138-1-3p	-1.46484168916981	1.94587461184211	-4.20252531150593	9.29489060096418e-05	0.00209335936733531	1.19443989752185
hsa-miR-106b-3p	2.58847741138208	5.90044275149123	4.1737275794545	0.000102428845429822	0.00224224489365282	1.10367547790705
hsa-miR-20b-5p	2.19700707776886	10.5705548387368	4.15182751045172	0.000110258225206474	0.00236721986260602	1.03486816517596
hsa-miR-17-5p	1.73954347823113	11.9117085004386	4.12495325632117	0.000120659567718081	0.00253482398310968	0.950691950319624
hsa-miR-365a-3p	-1.11899384996226	1.66856963224561	-4.12082966577133	0.000122337298971072	0.00254272870068864	0.937801432943391
