source	target
hsa_circ_0008323	hsa-miR-99a-5p
hsa-miR-99a-5p	BGN
hsa_circ_0058097	hsa-miR-10b-5p
hsa-miR-10b-5p	PDCD4
hsa_circ_0074559	hsa-miR-10b-5p
hsa_circ_0015270	hsa-miR-10b-5p
hsa_circ_0062603	hsa-miR-1976
hsa-miR-1976	PDCD4
hsa_circ_0006004	hsa-miR-1976
hsa_circ_0058097	hsa-miR-1976
hsa_circ_0034642	hsa-miR-1976
hsa_circ_0003099	hsa-miR-1976
hsa_circ_0085918	hsa-miR-1976
hsa_circ_0030509	hsa-miR-3074-3p
hsa-miR-3074-3p	RAB11FIP2
hsa_circ_0074559	hsa-miR-335-5p
hsa-miR-335-5p	PDCD4
hsa-miR-335-5p	BHLHE40
hsa-miR-335-5p	BTN3A1
hsa-miR-335-5p	FAM227B
hsa_circ_0088485	hsa-miR-335-5p
hsa_circ_0001348	hsa-miR-335-5p
hsa_circ_0060539	hsa-miR-335-5p
hsa_circ_0001646	hsa-miR-367-5p
hsa-miR-367-5p	RNF122
hsa_circ_0017037	hsa-miR-367-5p
hsa_circ_0001818	hsa-miR-367-5p
hsa_circ_0009654	hsa-miR-486-3p
hsa-miR-486-3p	BHLHE40
hsa-miR-486-3p	PHYHD1
hsa_circ_0034642	hsa-miR-486-3p
hsa_circ_0000324	hsa-miR-486-3p
hsa_circ_0060539	hsa-miR-518c-5p
hsa-miR-518c-5p	BHLHE40
hsa-miR-518c-5p	LIX1
hsa_circ_0037511	hsa-miR-580-3p
hsa-miR-580-3p	PDCD4
hsa-miR-580-3p	RAB11FIP2
hsa-miR-580-3p	LIX1
hsa_circ_0030509	hsa-miR-580-3p
hsa_circ_0003438	hsa-miR-580-3p
hsa_circ_0004134	hsa-miR-580-3p
hsa_circ_0078605	hsa-miR-671-5p
hsa-miR-671-5p	BTN3A1
hsa_circ_0103272	hsa-miR-671-5p
hsa_circ_0058097	hsa-miR-939-5p
hsa-miR-939-5p	B4GALT1
hsa-miR-939-5p	SPARC
hsa-miR-939-5p	BHLHE40
hsa_circ_0063329	hsa-miR-939-5p
hsa_circ_0003099	hsa-miR-939-5p
hsa_circ_0063526	hsa-miR-939-5p
hsa_circ_0060539	hsa-miR-939-5p
